row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017Triệu đồng,%,Ngày 31 tháng 12năm 2016Triệu đồng(Trình bày lại),%_1,numeric__Ngày 31 tháng 12năm 2017Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2016Triệu đồng(Trình bày lại),numeric__%_1
"Nông nghiệp, lâm nghiệp và thủysản","Nông nghiệp, lâm nghiệp và thủysản","Nông nghiệp, lâm nghiệp và thủysản",3.538.605,"1,94",1.045.660,"0,72",3538605.0,1.94,1045660.0,0.72
Khai khoáng,Khai khoáng,Khai khoáng,268.934,"0,15",168.178,"0,12",268934.0,0.15,168178.0,0.12
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",12.141.713,"6,65",8.412.917,"5,82",12141713.0,6.65,8412917.0,5.82
"Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí",2.171.806,"1,19",2.273.026,"1,57",2171806.0,1.19,2273026.0,1.57
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",227.500,"0,12",395.533,"0,27",227500.0,0.12,395533.0,0.27
Xây dựng,Xây dựng,Xây dựng,8.333.164,"4,56",5.012.167,"3,46",8333164.0,4.56,5012167.0,3.46
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",22.300.670,"12,21",7.813.290,"5,40",22300670.0,12.21,7813290.0,5.4
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,9.381.099,"5,14",10.046.085,"6,94",9381099.0,5.14,10046085.0,6.94
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,4.235.161,"2,32",3.272.257,"2,26",4235161.0,2.32,3272257.0,2.26
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,460.972,"0,25",435.139,"0,30",460972.0,0.25,435139.0,0.3
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",1.911.085,"1,05",2.793.831,"1,93",1911085.0,1.05,2793831.0,1.93
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,15.553.631,"8,51",16.946.370,"11,71",15553631.0,8.51,16946370.0,11.71
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",255.577,"0,14",268.448,"0,19",255577.0,0.14,268448.0,0.19
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,1.225.731,"0,67",432.055,"0,30",1225731.0,0.67,432055.0,0.3
"Hoạt động của Đảng công sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảoodầm xã hội bắt buộc","Hoạt động của Đảng công sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảoodầm xã hội bắt buộc","Hoạt động của Đảng công sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảoodầm xã hội bắt buộc",40.051,"0,02",-,-,40051.0,0.02,,
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,338.584,"0,19",212.721,"0,15",338584.0,0.19,212721.0,0.15
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,389.020,"0,21",26.663,"0,02",389020.0,0.21,26663.0,0.02
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",275.179,"0,15",434.654,"0,30",275179.0,0.15,434654.0,0.3
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.541.832,"0,84",288.375,"0,20",1541832.0,0.84,288375.0,0.2
"Hoạt động làm thuê các côngviệc trong hộ gia đình, sản xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong hộ gia đình, sản xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong hộ gia đình, sản xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình",97.976.774,"53,64",84.395.844,"58,34",97976774.0,53.64,84395844.0,58.34
Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,99.125,"0,05",-,-,99125.0,0.05,,
,,,182.666.213,100,144.673.213,100,182666213.0,100.0,144673213.0,100.0
