row_label_raw,row_label_full,Mãsố,CHỈ TIÊU,Thuyếtminh,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__CHỈ TIÊU,numeric__Thuyếtminh,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,21.313.736.311,547.009.511.406,,,21313736311.0,547009511406.0
02,02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình,"10,11,12",20.342.819.258,24.812.598.471,,,20342819258.0,24812598471.0
03,03,03,Các khoản dự phòng/(hoàn nhập dự phòng),,17.348.890.362,(30.672.110.824),,,17348890362.0,-30672110824.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(1.560.684.485),406.077.845,,,-1560684485.0,406077845.0
05,05,05,Lãi từ hoạt động đầu tư,,(45.198.814.601),(582.807.718.704),,,-45198814601.0,-582807718704.0
06,06,06,Chi phí lãi vay,27,(580.837.731),(1.083.905.817),,27.0,-580837731.0,-1083905817.0
08,08,08,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động,,11.665.109.114,(42.335.547.623),,,11665109114.0,-42335547623.0
09,09,09,Giảm/(tăng) các khoản phải thu,,48.450.299.267,(26.170.804.131),,,48450299267.0,-26170804131.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(26.340.105.763),90.330.733.338,,,-26340105763.0,90330733338.0
11,11,11,"Giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(26.838.312.918),(160.216.688.325),,,-26838312918.0,-160216688325.0
12,12,12,Tăng chi phí trả trước,,(2.452.583.139),(235.673.628),,,-2452583139.0,-235673628.0
14,14,14,Tiền lãi vay đã trả,,(582.400.231),(1.081.580.556),,,-582400231.0,-1081580556.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,18,(5.371.742.587),-,,18.0,-5371742587.0,
16,16,16,Tiền thu khác từ hoạt động kinh doanh,,-,315.929.669,,,,315929669.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(627.244.494),-,,,-627244494.0,
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(2.096.980.751),(139.393.631.256),,,-2096980751.0,-139393631256.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định",,(5.365.475.416),(23.770.521.777),,,-5365475416.0,-23770521777.0
22,22,22,"Tiền thu do thanh lý, nhượng bán",,-,313.701.000,,,,313701000.0
23,23,23,TSCĐ và các tài sản dài hạn khác,,(207.797.620.833),(865.096.994.128),,,-207797620833.0,-865096994128.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,13.985.815.900,349.405.311.555,,,13985815900.0,349405311555.0
25,25,25,Tiền thu từ sáp nhập công ty con/(tiền chỉ đầu tư góp vốn vào các công ty con),,1.060.672.706,(15.498.880.491),,,1060672706.0,-15498880491.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,6.429.112.539,,,,6429112539.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,206.409.302.919,577.576.698.178,,,206409302919.0,577576698178.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,8.292.695.276,29.358.426.876,,,8292695276.0,29358426876.0
