row_label_raw,row_label_full,Tên đơn vị,Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%)
Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,,,,
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
Công ty TNHH MTV Lâm nghiệp Đình Lập,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
Công ty TNHH MTV Lâm nghiệp Hòa Bình,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Hòa Bình,Công ty TNHH MTV Lâm nghiệp Hòa Bình,-,-,"100,00%","100,00%",,,1.0,1.0
Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,,,,
Công ty Cổ phần Cẩm Hà,Các công ty con là công ty cổ phần > Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,"51,00%","51,00%","51,00%","51,00%",0.51,0.51,0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,"79,86%","79,86%","79,86%","79,86%",0.7986,0.7986,0.7986,0.7986
