row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Ngày 31 tháng 12 năm 2016 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VNDNgày 1 tháng 9 năm 2016 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Ngày 31 tháng 12 năm 2016 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VNDNgày 1 tháng 9 năm 2016 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty TNHH Việt Nhật Cré biến gỗ và Đăm gỗ Dung Quát,Công ty TNHH Việt Nhật Cré biến gỗ và Đăm gỗ Dung Quát,Công ty TNHH Việt Nhật Cré biến gỗ và Đăm gỗ Dung Quát,Công ty liên kết,Bán hàng hóa,8.108.108.800,3.361.472.400,,,8108108800.0,3361472400.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa,7.163.783.900,11.554.827.891,,,7163783900.0,11554827891.0
Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty liên kết,Bán hàng hóa,5.109.874.650,3.258.034.723,,,5109874650.0,3258034723.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Bán hàng hóa,672.150.039,733.125.551,,,672150039.0,733125551.0
Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,Công ty con,Bán hàng hóa,107.717.989,-,,,107717989.0,
Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Yamaha MOTOR Việt Nam,Công ty liên kết,Cho thuê văn phòng và các dịch vụ phụ trợ khác,81.315.138,-,,,81315138.0,
,,,,,21.242.950.516,18.907.460.565,,,21242950516.0,18907460565.0
