row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Giá gốc,Ngày 31 tháng 12 năm 2016 > Dự phòng,Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,Ngày 1 tháng 9 năm 2016 > Giá gốc,Ngày 1 tháng 9 năm 2016 > Dự phòng,Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý,numeric__Ngày 31 tháng 12 năm 2016 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2016 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,numeric__Ngày 1 tháng 9 năm 2016 > Giá gốc,numeric__Ngày 1 tháng 9 năm 2016 > Dự phòng,numeric__Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,76.343.816.625,(1.070.538.832),75.273.277.793,76.343.816.625,-,76.343.816.625,76343816625.0,-1070538832.0,75273277793.0,76343816625.0,,76343816625.0
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,29.527.310.443,-,29.527.310.443,29.527.310.443,-,29.527.310.443,29527310443.0,,29527310443.0,29527310443.0,,29527310443.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,20.812.244.243,-,20.812.244.243,20.812.244.243,-,20.812.244.243,20812244243.0,,20812244243.0,20812244243.0,,20812244243.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,11.308.028.579,-,11.308.028.579,11.308.028.579,-,11.308.028.579,11308028579.0,,11308028579.0,11308028579.0,,11308028579.0
Công ty TNHH MTV Lâm nghiệp Đình Lập,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,9.801.810.344,(1.274.039.365),8.527.770.979,9.801.810.344,-,9.801.810.344,9801810344.0,-1274039365.0,8527770979.0,9801810344.0,,9801810344.0
Công ty TNHH MTV Lâm nghiệp Hòa Bình,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Hòa Bình,Công ty TNHH MTV Lâm nghiệp Hòa Bình,-,-,-,40.555.317.336,-,40.555.317.336,,,,40555317336.0,,40555317336.0
Công ty Cổ phần Cẩm Hà,Đầu tư vào công ty con > Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,19.153.218.733,-,19.153.218.733,19.153.218.733,-,19.153.218.733,19153218733.0,,19153218733.0,19153218733.0,,19153218733.0
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Đầu tư vào công ty con > Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,15.970.758.975,-,15.970.758.975,15.970.758.975,-,15.970.758.975,15970758975.0,,15970758975.0,15970758975.0,,15970758975.0
Công ty Cổ phần Vinafor Đà Nẵng,Đầu tư vào công ty con > Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,14.070.528.551,-,14.070.528.551,14.070.528.551,-,14.070.528.551,14070528551.0,,14070528551.0,14070528551.0,,14070528551.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,7.930.500.080,-,7.930.500.080,7.930.500.080,-,7.930.500.080,7930500080.0,,7930500080.0,7930500080.0,,7930500080.0
Công ty Cổ phần Long Bình,Đầu tư vào công ty con > Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,6.389.405.342,-,6.389.405.342,6.389.405.342,-,6.389.405.342,6389405342.0,,6389405342.0,6389405342.0,,6389405342.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,3.128.636.072,-,3.128.636.072,3.128.636.072,-,3.128.636.072,3128636072.0,,3128636072.0,3128636072.0,,3128636072.0
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Đầu tư vào công ty con > Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,2.094.477.881,(154.842.407),1.939.635.474,2.094.477.881,-,2.094.477.881,2094477881.0,-154842407.0,1939635474.0,2094477881.0,,2094477881.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,1.815.564.562,-,1.815.564.562,1.815.564.562,-,1.815.564.562,1815564562.0,,1815564562.0,1815564562.0,,1815564562.0
Công ty Cổ phần Vinafor Vinh,Đầu tư vào công ty con > Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,1.626.640.618,(165.332.187),1.461.308.431,1.626.640.618,-,1.626.640.618,1626640618.0,-165332187.0,1461308431.0,1626640618.0,,1626640618.0
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,-,-,-,-,-,-,,,,,,
