row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2016,Ngày 1 tháng 9 năm 2016 (Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2016,numeric__Ngày 1 tháng 9 năm 2016 (Trình bày lại)
100,100,100,A. TÀI SẢN NGÂN HẠN,,2.286.480.764.431,3.761.507.884.734,,,2286480764431.0,3761507884734.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,73.633.521.707,1.842.584.476.421,,4.0,73633521707.0,1842584476421.0
111,111,111,1. Tiền,,23.348.390.349,1.771.342.428.281,,,23348390349.0,1771342428281.0
112,112,112,2. Các khoản tương đương tiền,,50.285.131.358,71.242.048.140,,,50285131358.0,71242048140.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,1.753.103.455.713,1.557.373.834.880,,,1753103455713.0,1557373834880.0
123,123,123,1. Đầu tư nắm giữ đến ngày đáo hạn,5,1.753.103.455.713,1.557.373.834.880,,5.0,1753103455713.0,1557373834880.0
130,130,130,III. Các khoản phải thu ngắn hạn,,224.085.352.165,220.934.366.282,,,224085352165.0,220934366282.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6.1,45.560.892.424,64.978.369.785,,61.0,45560892424.0,64978369785.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6.2,37.908.207.989,42.067.724.974,,62.0,37908207989.0,42067724974.0
135,135,135,3. Phải thu về cho vay ngắn hạn,7,67.351.514.610,63.296.481.774,,7.0,67351514610.0,63296481774.0
136,136,136,4. Phải thu ngắn hạn khác,8,80.716.700.356,50.591.789.749,,8.0,80716700356.0,50591789749.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(7.451.963.214),-,,,-7451963214.0,
140,140,140,IV. Hàng tồn kho,9,230.842.258.183,135.099.358.039,,9.0,230842258183.0,135099358039.0
141,141,141,1. Hàng tồn kho,,231.308.048.250,135.099.358.039,,,231308048250.0,135099358039.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(465.790.067),-,,,-465790067.0,
150,150,150,V. Tài sản ngắn hạn khác,,4.816.176.663,5.515.849.112,,,4816176663.0,5515849112.0
151,151,151,1. Chi phí trả trước ngắn hạn,15,1.501.135.472,4.502.843.615,,15.0,1501135472.0,4502843615.0
152,152,152,2. Thuế GTGT được khấu trừ,,3.283.537.327,1.013.005.497,,,3283537327.0,1013005497.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,31.503.864,-,,,31503864.0,
