row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016,Đơn vị tính: VNDNgày 1 tháng 9năm 2016,numeric__Ngày 31 tháng 12năm 2016,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,1.243.277.671,3.744.252.595,1243277671.0,3744252595.0
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,55.802.488,59.098.030,55802488.0,59098030.0
Chi phí thuê đất,Ngắn hạn > Chi phí thuê đất,Chi phí thuê đất,-,176.286.000,,176286000.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,202.055.313,523.206.990,202055313.0,523206990.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.501.135.472,4.502.843.615,1501135472.0,4502843615.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,5.813.752.642,572.308.606,5813752642.0,572308606.0
Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Dài hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Giá trị tiềm năng phát triển và giá trị thương hiệu (*),21.119.043.566,22.820.149.987,21119043566.0,22820149987.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,460.156.970,15.683.667,460156970.0,15683667.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,27.392.953.178,23.408.142.260,27392953178.0,23408142260.0
