row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm2016 đến ngày31 tháng 12 năm2016,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 1 năm2016 đến ngày 1 tháng 9 năm2016,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm2016 đến ngày31 tháng 12 năm2016,numeric__Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 1 năm2016 đến ngày 1 tháng 9 năm2016
Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụ,468.594.000,-,,,468594000.0,
Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụLãi cho vayThu nợ gốc và lãi vay,58.756.812.55786.523.113852.546.294,137.078.433.544----,,,5.875681255786523e+27,
Công ty TNHHVán dàn OJI – Vinafor Bắc Giang,Công ty TNHHVán dàn OJI – Vinafor Bắc Giang,Công ty TNHHVán dàn OJI – Vinafor Bắc Giang,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụThu nợ gốc và lãi vayLãi cho vayCho vay vốn,19.224.859.163737.258.742502.657.2583.568.000.000,26.601.811.820----,,,1.9224859163737257e+38,
Công ty TNHHYamaha MOTOR Việt Nam,Công ty TNHHYamaha MOTOR Việt Nam,Công ty TNHHYamaha MOTOR Việt Nam,Công ty liên kết,Doanh thu cho thuê văn phòng,2.501.061.388,4.979.841.501,,,2501061388.0,4979841501.0
Công ty cổ phần Vinafor Tây Nguyên,Công ty cổ phần Vinafor Tây Nguyên,Công ty cổ phần Vinafor Tây Nguyên,Công ty con,Cho vay,-,8.000.000.000,,,,8000000000.0
Công ty TNHHViệt Nhật Chế biến gỗ và Đảm gỗ Dung Quất,Công ty TNHHViệt Nhật Chế biến gỗ và Đảm gỗ Dung Quất,Công ty TNHHViệt Nhật Chế biến gỗ và Đảm gỗ Dung Quất,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụLãi cho vay và cổ tứcThu nợ gốc và lãi vay,75.984.472.800249.036.5871.656.181.276,144.433.517.650----,,,7.598447280024904e+29,
