row_label_raw,row_label_full,Hệ thống thang máy ngoài trời tòa nhà Vinafor,Ngày 31 tháng 12năm 2016 > -,Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > 10.607.356.704,numeric__Ngày 31 tháng 12năm 2016 > -,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > 10.607.356.704
Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,8.309.376.725,8.309.376.725,8309376725.0,8309376725.0
Mãy tách mũ gỗ nguyên vật liệu,Mãy tách mũ gỗ nguyên vật liệu,Mãy tách mũ gỗ nguyên vật liệu,7.691.744.755,7.691.744.755,7691744755.0,7691744755.0
Văn phòng đại diện tại Quy Nhơn,Văn phòng đại diện tại Quy Nhơn,Văn phòng đại diện tại Quy Nhơn,-,960.198.445,,960198445.0
Dự án đầu tư sửa chữa máy nghiền,Dự án đầu tư sửa chữa máy nghiền,Dự án đầu tư sửa chữa máy nghiền,6.345.894.922,-,6345894922.0,
Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,2.569.374.261,821.389.998,2569374261.0,821389998.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,24.916.390.663,28.390.066.627,24916390663.0,28390066627.0
