row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016,Đơn vị tính: VNDNgày 1 tháng 9 năm2016(Trình bày lại),numeric__Ngày 31 tháng 12năm 2016,numeric__Đơn vị tính: VNDNgày 1 tháng 9 năm2016(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về cổ phần hóa (*),Ngắn hạn > Phải trả về cổ phần hóa (*),Phải trả về cổ phần hóa (*),528.106.579.783,2.148.218.752.862,528106579783.0,2148218752862.0
"Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận QSĐĐ","Ngắn hạn > Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận QSĐĐ","Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận QSĐĐ",50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",1.004.424.429,1.149.674.429,1004424429.0,1149674429.0
Các khoản phải trả phải nộp khác,Ngắn hạn > Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,13.735.033.295,12.045.511.539,13735033295.0,12045511539.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,592.846.037.507,2.211.413.938.830,592846037507.0,2211413938830.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,592.845.023.603,2.210.319.526.375,592845023603.0,2210319526375.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),1.013.904,1.094.412.455,1013904.0,1094412455.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",8.454.336.476,8.236.069.711,8454336476.0,8236069711.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.454.336.476,8.236.069.711,8454336476.0,8236069711.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,7.238.800.796,7.020.534.031,7238800796.0,7020534031.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
