row_label_raw,row_label_full,Ngân hàng > Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam - Chi nhánh Hoàng Mai > Trong đó: Vay dài hạn đến hạn trả > Ngân hàng Phát triển Việt Nam - Chinhánh Gia Lai > Trong đó: Vay dài hạn đến hạn trả > Ngân hàng Phát triển Việt Nam - Chinhánh Hòa Bình > Trong đó: Vay dài hạn đến hạn trả,Ngày 31 tháng 12 năm2016 (VND) > 8.728.098.4001.522.737.900 > 31.700.000.00025.000.000.000 > 13.504.943.9484.227.989.250,Kỳ hạn trả gốc và lãi > Trả nợ gốc 6 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 22tháng 6 năm 2022. Lãi vay trảhàng tháng. > Trả nợ gốc 6 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 30tháng 6 năm 2019. Lãi vay trảhàng tháng. > Trả nợ gốc 3 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 31tháng 3 năm 2019. Lãi vay trâhàng tháng.,"Lãi suất > 8,5%/năm > 3%/năm > 8,4%/năm",numeric__Ngày 31 tháng 12 năm2016 (VND) > 8.728.098.4001.522.737.900 > 31.700.000.00025.000.000.000 > 13.504.943.9484.227.989.250,numeric__Kỳ hạn trả gốc và lãi > Trả nợ gốc 6 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 22tháng 6 năm 2022. Lãi vay trảhàng tháng. > Trả nợ gốc 6 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 30tháng 6 năm 2019. Lãi vay trảhàng tháng. > Trả nợ gốc 3 tháng một lần vớikỳ trả nợ cuối cùng vào ngày 31tháng 3 năm 2019. Lãi vay trâhàng tháng.,"numeric__Lãi suất > 8,5%/năm > 3%/năm > 8,4%/năm"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,53.933.042.348,,,53933042348.0,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,30.750.727.150,,,30750727150.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,23.182.315.198,,,23182315198.0,,
