row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Giá trị,Ngày 31 tháng 12 năm 2016 > Số có khả năngtrả nợ,Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Giá trị,Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Số có khả năngtrả nợ,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị,numeric__Ngày 31 tháng 12 năm 2016 > Số có khả năngtrả nợ,numeric__Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Giá trị,numeric__Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Số có khả năngtrả nợ
Phải trả người bán- Công ty TNHHSamartex Timber and Plywood,Phải trả người bán- Công ty TNHHSamartex Timber and Plywood,Phải trả người bán- Công ty TNHHSamartex Timber and Plywood,47.262.511.134,47.262.511.134,45.133.097.556,45.133.097.556,47262511134.0,47262511134.0,45133097556.0,45133097556.0
- Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,6.375.183.095,6.375.183.095,1.846.262.917,1.846.262.917,6375183095.0,6375183095.0,1846262917.0,1846262917.0
- Công ty TNHH Hóa keo Kỹ thuật,- Công ty TNHH Hóa keo Kỹ thuật,- Công ty TNHH Hóa keo Kỹ thuật,4.384.257.083,4.384.257.083,6.272.259.199,6.272.259.199,4384257083.0,4384257083.0,6272259199.0,6272259199.0
- Công ty Promo Incorporation Fze,- Công ty Promo Incorporation Fze,- Công ty Promo Incorporation Fze,4.176.494.383,4.176.494.383,2.344.840.558,2.344.840.558,4176494383.0,4176494383.0,2344840558.0,2344840558.0
- Công ty TNHH Thương mại Ánh Dương,- Công ty TNHH Thương mại Ánh Dương,- Công ty TNHH Thương mại Ánh Dương,4.108.773.880,4.108.773.880,-,-,4108773880.0,4108773880.0,,
- Công ty TNHH Tech Wood International,- Công ty TNHH Tech Wood International,- Công ty TNHH Tech Wood International,4.036.926.800,4.036.926.800,922.194.000,922.194.000,4036926800.0,4036926800.0,922194000.0,922194000.0
- Công ty HardWood Partners Aps - Part of HValsoe Sawmill Ltd,- Công ty HardWood Partners Aps - Part of HValsoe Sawmill Ltd,- Công ty HardWood Partners Aps - Part of HValsoe Sawmill Ltd,-,-,10.649.389.542,10.649.389.542,,,10649389542.0,10649389542.0
- Phải trả các đối tượng khác,- Phải trả các đối tượng khác,- Phải trả các đối tượng khác,-,-,7.562.915.545,7.562.915.545,,,7562915545.0,7562915545.0
Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),24.180.875.893,24.180.875.893,15.535.235.795,15.535.235.795,24180875893.0,24180875893.0,15535235795.0,15535235795.0
Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),1.447.091.588,1.447.091.588,786.609.060,786.609.060,1447091588.0,1447091588.0,786609060.0,786609060.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,48.709.602.722,48.709.602.722,45.919.706.616,45.919.706.616,48709602722.0,48709602722.0,45919706616.0,45919706616.0
