row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Giá gốc,Ngày 31 tháng 12 năm 2016 > Dự phòng,Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,Ngày 1 tháng 9 năm 2016 > Giá gốc,Ngày 1 tháng 9 năm 2016 > Dự phòng,Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý,numeric__Ngày 31 tháng 12 năm 2016 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2016 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,numeric__Ngày 1 tháng 9 năm 2016 > Giá gốc,numeric__Ngày 1 tháng 9 năm 2016 > Dự phòng,numeric__Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty TNHH YAMAHA MOTOR Việt Nam,Đầu tư vào công ty liên kết > Công ty TNHH YAMAHA MOTOR Việt Nam,Công ty TNHH YAMAHA MOTOR Việt Nam,1.122.044.156.400,-,1.122.044.156.400,1.322.924.156.400,-,1.322.924.156.400,1122044156400.0,,1122044156400.0,1322924156400.0,,1322924156400.0
Công ty TNHH Việt Thành Thái,Đầu tư vào công ty liên kết > Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,45.092.785.462,-,45.092.785.462,45.092.785.462,-,45.092.785.462,45092785462.0,,45092785462.0,45092785462.0,,45092785462.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,26.139.084.964,-,26.139.084.964,26.139.084.964,-,26.139.084.964,26139084964.0,,26139084964.0,26139084964.0,,26139084964.0
Công ty Liên doanh Sản xuất Nguyên liệu giấy Việt Nhật,Đầu tư vào công ty liên kết > Công ty Liên doanh Sản xuất Nguyên liệu giấy Việt Nhật,Công ty Liên doanh Sản xuất Nguyên liệu giấy Việt Nhật,22.525.816.641,-,22.525.816.641,22.525.816.641,-,22.525.816.641,22525816641.0,,22525816641.0,22525816641.0,,22525816641.0
Công ty Liên doanh Nuôi và Phát triển khỉ VN,Đầu tư vào công ty liên kết > Công ty Liên doanh Nuôi và Phát triển khỉ VN,Công ty Liên doanh Nuôi và Phát triển khỉ VN,19.258.002.922,-,19.258.002.922,19.258.002.922,-,19.258.002.922,19258002922.0,,19258002922.0,19258002922.0,,19258002922.0
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Đầu tư vào công ty liên kết > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,12.401.394.337,-,12.401.394.337,12.401.394.337,-,12.401.394.337,12401394337.0,,12401394337.0,12401394337.0,,12401394337.0
Công ty Cổ phần Cờ Đỏ,Đầu tư vào công ty liên kết > Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,11.661.413.998,-,11.661.413.998,11.661.413.998,-,11.661.413.998,11661413998.0,,11661413998.0,11661413998.0,,11661413998.0
Công ty Cổ phần Lâm nghiệp 19,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,9.340.054.080,-,9.340.054.080,9.340.054.080,-,9.340.054.080,9340054080.0,,9340054080.0,9340054080.0,,9340054080.0
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Đầu tư vào công ty liên kết > Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,5.901.601.410,-,5.901.601.410,5.953.191.410,-,5.953.191.410,5901601410.0,,5901601410.0,5953191410.0,,5953191410.0
Công ty Cổ phần Lâm nghiệp Miền Đông,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,4.891.656.170,-,4.891.656.170,4.891.656.170,-,4.891.656.170,4891656170.0,,4891656170.0,4891656170.0,,4891656170.0
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quất,Đầu tư vào công ty liên kết > Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quất,4.625.605.602,-,4.625.605.602,4.625.605.602,-,4.625.605.602,4625605602.0,,4625605602.0,4625605602.0,,4625605602.0
Công ty Cổ phần Formach,Đầu tư vào công ty liên kết > Công ty Cổ phần Formach,Công ty Cổ phần Formach,4.155.164.541,-,4.155.164.541,4.155.164.541,-,4.155.164.541,4155164541.0,,4155164541.0,4155164541.0,,4155164541.0
Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Đầu tư vào công ty liên kết > Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,3.478.607.058,-,3.478.607.058,3.478.607.058,-,3.478.607.058,3478607058.0,,3478607058.0,3478607058.0,,3478607058.0
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Đầu tư vào công ty liên kết > Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,3.063.845.562,-,3.063.845.562,3.063.845.562,-,3.063.845.562,3063845562.0,,3063845562.0,3063845562.0,,3063845562.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Đầu tư vào công ty liên kết > Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,2.698.842.250,-,2.698.842.250,2.698.842.250,-,2.698.842.250,2698842250.0,,2698842250.0,2698842250.0,,2698842250.0
Công ty Cổ phần 19/5 Đoan Hùng,Đầu tư vào công ty liên kết > Công ty Cổ phần 19/5 Đoan Hùng,Công ty Cổ phần 19/5 Đoan Hùng,2.292.110.576,-,2.292.110.576,2.292.110.576,-,2.292.110.576,2292110576.0,,2292110576.0,2292110576.0,,2292110576.0
Công ty Cổ phần Kon Hà Nùng,Đầu tư vào công ty liên kết > Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,1.945.917.957,-,1.945.917.957,1.945.917.957,-,1.945.917.957,1945917957.0,,1945917957.0,1945917957.0,,1945917957.0
Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Đầu tư vào công ty liên kết > Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,1.643.080.698,-,1.643.080.698,1.643.080.698,-,1.643.080.698,1643080698.0,,1643080698.0,1643080698.0,,1643080698.0
Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,1.197.837.276,-,1.197.837.276,1.197.837.276,-,1.197.837.276,1197837276.0,,1197837276.0,1197837276.0,,1197837276.0
Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Đầu tư vào công ty liên kết > Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,442.110.305,-,442.110.305,442110305.0,,442110305.0,442110305.0,,442110305.0
