row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,21.313.736.311,547.009.511.406,21313736311.0,547009511406.0
"Lợi nhuận chịu thuế suất 7,5%","Lợi nhuận chịu thuế suất 7,5%","Lợi nhuận chịu thuế suất 7,5%",2.252.218.686,-,2252218686.0,
Lợi nhuận chịu thuế suất 20%,Lợi nhuận chịu thuế suất 20%,Lợi nhuận chịu thuế suất 20%,20.838.104.694,547.009.511.406,20838104694.0,547009511406.0
Lỗ ở chi nhánh,Lỗ ở chi nhánh,Lỗ ở chi nhánh,(1.776.587.069),-,-1776587069.0,
Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,4.336.537.340,109.401.902.281,4336537340.0,109401902281.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,20.817.574,1.582.958.762,20817574.0,1582958762.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,849.734,-,849734.0,
Chi phí không được khấu trừ thuế khác,Chi phí không được khấu trừ thuế khác,Chi phí không được khấu trừ thuế khác,19.967.840,1.582.958.762,19967840.0,1582958762.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,(3.011.342.953),(105.091.452.473),-3011342953.0,-105091452473.0
Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,(337.059.316),-,-337059316.0,
Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,(1.408.744.005),(104.009.679.423),-1408744005.0,-104009679423.0
"Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(1.265.539.632),(1.081.773.050),-1265539632.0,-1081773050.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,1.346.011.961,5.893.408.570,1346011961.0,5893408570.0
