row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Ngày 31 tháng 12 năm 2016,Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016,numeric__Đơn vị tính: VND > Ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016
Phải trả chi phí đầu tư xây dựng cơ bản,Phải trả chi phí đầu tư xây dựng cơ bản,Phải trả chi phí đầu tư xây dựng cơ bản,-,64.068.174,,64068174.0
Phải trả lãi vay,Phải trả lãi vay,Phải trả lãi vay,6.330.522.401,-,6330522401.0,
Phải trả khác,Phải trả khác,Phải trả khác,2.225.545.295,1.448.637.870,2225545295.0,1448637870.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.556.067.696,1.512.706.044,8556067696.0,1512706044.0
