row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2016,Ngày 1 tháng 9 năm 2016 (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2016,numeric__Ngày 1 tháng 9 năm 2016 (Trình bày lại)
300,300,300,C. NỘ PHẢI TRÀ,,884.674.285.251,2.641.796.920.736,,,884674285251.0,2641796920736.0
310,310,310,I. Nợ ngắn hạn,,853.037.633.577,2.610.266.857.191,,,853037633577.0,2610266857191.0
311,311,311,1. Phải trả người bán ngắn hạn,16,48.709.602.722,45.919.706.616,,16.0,48709602722.0,45919706616.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,14.760.627.153,4.023.114.715,,17.0,14760627153.0,4023114715.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,121.021.571.321,275.914.339.521,,18.0,121021571321.0,275914339521.0
314,314,314,4. Phải trả người lao động,,22.611.082.060,25.212.214.662,,,22611082060.0,25212214662.0
315,315,315,5. Chi phí phải trả ngắn hạn,19,8.556.067.696,1.512.706.044,,19.0,8556067696.0,1512706044.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,20,4.320.516.672,10.379.296.047,,20.0,4320516672.0,10379296047.0
319,319,319,7. Phải trả ngắn hạn khác,21,592.846.037.507,2.211.413.938.830,,21.0,592846037507.0,2211413938830.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,22,30.750.727.150,25.816.666.666,,22.0,30750727150.0,25816666666.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,9.461.401.296,10.074.874.090,,,9461401296.0,10074874090.0
330,330,330,II. Nợ dài hạn,,31.636.651.674,31.530.063.545,,,31636651674.0,31530063545.0
331,331,331,1. Phải trả người bán dài hạn,,-,10.660.500,,,,10660500.0
337,337,337,2. Phải trả dài hạn khác,21,8.454.336.476,8.236.069.711,,21.0,8454336476.0,8236069711.0
338,338,338,3. Vay và nợ thuê tài chính dài hạn,22,23.182.315.198,23.283.333.334,,22.0,23182315198.0,23283333334.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,3.520.465.550.234,3.500.134.000.000,,,3520465550234.0,3500134000000.0
410,410,410,I. Vốn chủ sở hữu,23,3.519.753.146.841,3.500.000.000.000,,23.0,3519753146841.0,3500000000000.0
411,411,411,1. Vốn góp của chủ sở hữu,,3.500.000.000.000,3.500.000.000.000,,,3500000000000.0,3500000000000.0
421,421,421,2. Lợi nhuận sau thuế chưa phân phối,,19.753.146.841,-,,,19753146841.0,
421a,421a,421a,- Lợi nhuận lũy kế đến kỳ trước,,-,-,,,,
421b,421a > 421b,421b,- Lợi nhuận sau thuế chưa phân phối kỳ này,,19.753.146.841,-,,,19753146841.0,
430,421a > 430,430,II. Nguồn kinh phí và quỹ khác,,712.403.393,134.000.000,,,712403393.0,134000000.0
431,421a > 431,431,1. Nguồn kinh phí,,-,134.000.000,,,,134000000.0
432,421a > 432,432,2. Nguồn kinh phí đã hình thành TSCĐ,,712.403.393,-,,,712403393.0,
440,421a > 440,440,TỔNG CỘNG NGUỒN VỐN,,4.405.139.835.485,6.141.930.920.736,,,4405139835485.0,6141930920736.0
