row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,Các khoản chi phí bán hàng phát sinh trong kỳ,,
"- Chi phí nguyên liệu, vật liệu","Các khoản chi phí bán hàng phát sinh trong kỳ > - Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu",9.743.342,289.028.137,9743342.0,289028137.0
- Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong kỳ > - Chi phí nhân công,- Chi phí nhân công,1.239.003.526,4.793.118.909,1239003526.0,4793118909.0
- Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong kỳ > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,6.286.072.190,12.946.677.583,6286072190.0,12946677583.0
- Chi phí khác bằng tiền,Các khoản chi phí bán hàng phát sinh trong kỳ > - Chi phí khác bằng tiền,- Chi phí khác bằng tiền,839.918.523,3.245.536.817,839918523.0,3245536817.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong kỳ > TỔNG CỘNG,TỔNG CỘNG,8.374.737.581,21.274.361.446,8374737581.0,21274361446.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,,
- Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí nhân công,- Chi phí nhân công,16.601.388.757,48.564.123.042,16601388757.0,48564123042.0
- Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,3.058.516.957,3.113.558.552,3058516957.0,3113558552.0
"- Thuế, phí và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Thuế, phí và lệ phí","- Thuế, phí và lệ phí",21.101.667,3.815.944.218,21101667.0,3815944218.0
- Chi phí đồ dùng văn phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí đồ dùng văn phòng,- Chi phí đồ dùng văn phòng,430.168.141,-,430168141.0,
"- Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu",2.575.164.953,5.299.006.848,2575164953.0,5299006848.0
- Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,2.742.540.343,16.026.523.402,2742540343.0,16026523402.0
- Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí dự phòng,- Chi phí dự phòng,6.923.423.661,-,6923423661.0,
- Chi phí khác bằng tiền,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > - Chi phí khác bằng tiền,- Chi phí khác bằng tiền,5.518.523.948,11.164.059.517,5518523948.0,11164059517.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > TỔNG CỘNG,TỔNG CỘNG,37.870.828.427,87.983.215.579,37870828427.0,87983215579.0
