row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),Ngày 31 tháng 12 năm 2016 > Phải thu ngắn hạn khác(Thuyết minh số 8),Đơn vị tính: VNDNgày 1 tháng 9 năm 2016 > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Ngày 31 tháng 12 năm 2016 > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Đơn vị tính: VNDNgày 1 tháng 9 năm 2016 > Phải thu ngắn hạn khác(Thuyết minh số 8)
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,Lãi vay phải thu và cổ tức được chia,8.241.904.016,3.403.823.495,,,8241904016.0,3403823495.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Lãi vay phải thu,701.937.499,364.854.166,,,701937499.0,364854166.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Lãi vay phải thu và cổ tức được chia,1.205.975.403,208.108.333,,,1205975403.0,208108333.0
Công ty TNHH MTV Lâm nghiệp Hòa Bình,Công ty TNHH MTV Lâm nghiệp Hòa Bình,Công ty TNHH MTV Lâm nghiệp Hòa Bình,Công ty con,Lãi vay phải thu,-,3.015.668.180,,,,3015668180.0
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty con,Lãi vay phải thu,568.436.644,568.436.644,,,568436644.0,568436644.0
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty con,Lãi vay phải thu,444.946.041,355.511.821,,,444946041.0,355511821.0
Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,Công ty con,Phải thu về cổ phần hóa,22.774.000,-,,,22774000.0,
Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty con,Lãi vay phải thu,147.375.000,60.375.000,,,147375000.0,60375000.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty con,Cổ tức được chia,98.588.880,-,,,98588880.0,
Công ty Cổ phần Lâm sản Forprodex,Công ty Cổ phần Lâm sản Forprodex,Công ty Cổ phần Lâm sản Forprodex,Công ty liên kết,Phải thu về cổ phần hóa,3.156.063.561,3.156.063.561,,,3156063561.0,3156063561.0
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,,135.000.000,135.000.000,,,135000000.0,135000000.0
,,,,Tiền cổ tức Phải thu về cổ phần hóa,800.811.705,-,,,800811705.0,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Lãi vay phải thu,63.946.309,114.780.248,,,63946309.0,114780248.0
Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty liên kết,Lãi vay phải thu,-,233.587.580,,,,233587580.0
Công ty TNHH Việt Nhật Chế biển gỗ và Đảm gỗ Dung Quát,Công ty TNHH Việt Nhật Chế biển gỗ và Đảm gỗ Dung Quát,Công ty TNHH Việt Nhật Chế biển gỗ và Đảm gỗ Dung Quát,Công ty liên kết,Lãi vay phải thu,186.295.762,319.978.701,,,186295762.0,319978701.0
