row_label_raw,row_label_full,Công ty TNHH Đầu tư Thương mại và Sản xuất Hải Nam,Ngày 31 tháng 12năm 2016 > 5.224.085.971,Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > -,numeric__Ngày 31 tháng 12năm 2016 > 5.224.085.971,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > -
Công ty TNHH Vui Xuân,Công ty TNHH Vui Xuân,Công ty TNHH Vui Xuân,4.317.106.473,1.280.616.803,4317106473.0,1280616803.0
Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Minh Đức,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Minh Đức,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Minh Đức,2.752.733.840,-,2752733840.0,
Công ty TNHH Thương mại và Sản xuất Mỹ Đoàn,Công ty TNHH Thương mại và Sản xuất Mỹ Đoàn,Công ty TNHH Thương mại và Sản xuất Mỹ Đoàn,1.295.745.748,196.000.000,1295745748.0,196000000.0
Công ty TNHH Vq Wood,Công ty TNHH Vq Wood,Công ty TNHH Vq Wood,-,1.548.000.000,,1548000000.0
Công ty Thương mại và Xây dựng Minh Én,Công ty Thương mại và Xây dựng Minh Én,Công ty Thương mại và Xây dựng Minh Én,-,400.000.000,,400000000.0
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,1.170.955.121,598.497.912,1170955121.0,598497912.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.760.627.153,4.023.114.715,14760627153.0,4023114715.0
