row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
31,31,31,"III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,-,1.726.344.842.000,,,,1726344842000.0
32,32,32,"Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,(1.620.814.208.133),-,,,-1620814208133.0,
33,33,33,Tiền thu từ đi vay,,4.236.431.400,5.000.000.000,,,4236431400.0,5000000000.0
34,34,34,Tiền trả nợ gốc vay,,(14.846.316.487),(12.600.000.000),,,-14846316487.0,-12600000000.0
36,36,36,Lợi nhuận nộp về ngân sách Nhà nước,,(143.721.848.597),-,,,-143721848597.0,
40,40,40,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,,(1.775.145.941.817),1.718.744.842.000,,,-1775145941817.0,1718744842000.0
50,50,50,Lưu chuyển tiền thuần trong kỳ,,(1.768.950.227.292),1.608.709.637.620,,,-1768950227292.0,1608709637620.0
60,60,60,Tiền và các khoản tương đương tiền đầu kỳ,,1.842.584.476.421,233.889.066.544,,,1842584476421.0,233889066544.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá ngoại tệ,,(727.422),(14.227.743),,,-727422.0,-14227743.0
70,70,70,Tiền và các khoản tương đương tiền cuối kỳ,4,73.633.521.707,1.842.584.476.421,,4.0,73633521707.0,1842584476421.0
