row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,25.1,361.713.877.722,835.892.642.331,,251.0,361713877722.0,835892642331.0
02,02,02,2. Các khoản giảm trừ doanh thu,25.1,-,-,,251.0,,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,25.1,361.713.877.722,835.892.642.331,,251.0,361713877722.0,835892642331.0
11,11,11,4. Giá vốn hàng bán và cung cấp dịch vụ,26,(331.133.608.043),(783.240.631.478),,26.0,-331133608043.0,-783240631478.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,30.580.269.679,52.652.010.853,,,30580269679.0,52652010853.0
21,21,21,6. Doanh thu hoạt động tài chính,25.2,47.480.667.208,584.032.206.129,,252.0,47480667208.0,584032206129.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(10.344.607.071) (580.837.731),28.233.619.856 (1.083.905.817),,27.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(10.344.607.071) (580.837.731),28.233.619.856 (1.083.905.817),,27.0,,
25,25,25,8. Chi phí bán hàng,28,(8.374.737.581),(21.274.361.446),,28.0,-8374737581.0,-21274361446.0
26,26,26,9. Chi phí quản lý doanh nghiệp,28,(37.870.828.427),(87.983.215.579),,28.0,-37870828427.0,-87983215579.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,21.470.763.808,555.660.259.813,,,21470763808.0,555660259813.0
31,31,31,11. Thu nhập khác,,403.697.426,876.929.467,,,403697426.0,876929467.0
32,32,32,12. Chi phí khác,,(560.724.923),(9.527.677.874),,,-560724923.0,-9527677874.0
40,40,40,13. Lỗ khác,,(157.027.497),(8.650.748.407),,,-157027497.0,-8650748407.0
50,50,50,14. Tổng lợi nhuận trước thuế,,21.313.736.311,547.009.511.406,,,21313736311.0,547009511406.0
51,51,51,15. Chi phí thuế TNDN hiện hành,30,(1.346.011.961),(5.893.408.570),,30.0,-1346011961.0,-5893408570.0
60,60,60,16. Lợi nhuận sau thuế TNDN,,19.967.724.350,541.116.102.836,,,19967724350.0,541116102836.0
