row_label_raw,row_label_full,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > Vào ngày 1 tháng 1 năm 2016,Vốn góp (Trình bày lại) > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 2.007.131.759.730,Chênh lệch đánh giá lại tài sản > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 1.257.554.322.375,Quỹ đầu tư phát triển > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 237.982.268.815,Lợi nhuận sau thuế chưa phân phối > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > -,Đơn vị tính: VND Tổng cộng > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 3.502.668.350.920,numeric__Vốn góp (Trình bày lại) > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 2.007.131.759.730,numeric__Chênh lệch đánh giá lại tài sản > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 1.257.554.322.375,numeric__Quỹ đầu tư phát triển > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 237.982.268.815,numeric__Lợi nhuận sau thuế chưa phân phối > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > -,numeric__Đơn vị tính: VND Tổng cộng > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 > 3.502.668.350.920
Điều chỉnh tăng vốn Nhà nước,Điều chỉnh tăng vốn Nhà nước,Điều chỉnh tăng vốn Nhà nước,1.657.871.422.041,(1.257.554.322.375),(400.317.099.666),-,-,1657871422041.0,-1257554322375.0,-400317099666.0,,
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,541.116.102.836,541.116.102.836,,,,541116102836.0,541116102836.0
Giảm vốn trong kỳ,Giảm vốn trong kỳ,Giảm vốn trong kỳ,(165.003.181.771),-,-,-,(165.003.181.771),-165003181771.0,,,,-165003181771.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,162.334.830.851,(178.031.165.851),(15.696.335.000),,,162334830851.0,-178031165851.0,-15696335000.0
Lợi nhuận nộp về nhà nước,Lợi nhuận nộp về nhà nước,Lợi nhuận nộp về nhà nước,-,-,,(363.084.936.985),(363.084.936.985),,,,-363084936985.0,-363084936985.0
Vào ngày 31 tháng 8 năm 2016 (*),Vào ngày 31 tháng 8 năm 2016 (*),Vào ngày 31 tháng 8 năm 2016 (*),3.500.000.000.000,-,-,-,3.500.000.000.000,3500000000000.0,,,,3500000000000.0
Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016,,,,,
Vào ngày 1 tháng 9 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016 > Vào ngày 1 tháng 9 năm 2016,Vào ngày 1 tháng 9 năm 2016,3.500.000.000.000,-,-,-,3.500.000.000.000,3500000000000.0,,,,3500000000000.0
Lợi nhuận trong kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016 > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,,,,19.967.724.350,19.967.724.350,,,,19967724350.0,19967724350.0
Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016 > Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,,,,(214.577.509),(214.577.509),,,,-214577509.0,-214577509.0
Vào ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 1 tháng 9 năm 2016 > Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,3.500.000.000.000,-,-,19.753.146.841,3.519.753.146.841,3500000000000.0,,,19753146841.0,3519753146841.0
