row_label_raw,row_label_full,1,Cheng ty Kho van va Czng Czam Pha,-,-_1,Dich y/y,222.169.320,numeric__Cheng ty Kho van va Czng Czam Pha,numeric__-,numeric__-_1,numeric__Dich y/y,numeric__222.169.320
2,2,2,Truong Quan tri kinh doanh,Bao tao,282.998.474,,,,,282998474.0,,
3,3,3,Tarp chi than khousing san vijet nam,Dich y/y,77.325.000,,,,,77325000.0,,
4,4,4,Cheng ty Tur vān quan ly dur han,Dich y/y,202.325.739,,,,,202325739.0,,
5,5,5,TCT Conng nighijep mo Vijet Bac TKV - CTCP,Than,225.432.375,Dich y/y,514.227.454,,,225432375.0,,514227454.0
6,6,6,TCT Conng nighijep Hoka chaṭ mo,Vat tr,10.020.123.200,,,,,10020123200.0,,
7,7,7,Cheng ty CP Che 1ao may,Dich y/y,223.240.259,,,,,223240259.0,,
8,8,8,Cheng ty TNHH MTV MoI truong - Vinacomin,Vat tr,19.216.565.071,Phê lfeu,92.908.275,,,19216565071.0,,92908275.0
9,9,9,Vizen Co khti nanging leuong va mo,Vat tr,90.891.000,,,,,90891000.0,,
10,10,10,Cheng ty CP conng nighijep 6 to,Vat tr,230.263.241,,,,,230263241.0,,
11,11,11,Chong ty CP Vat tr TKV,Vat tr,29.054.767.784,,,,,29054767784.0,,
12,12,12,Chong ty CP chhe bihen kinh doanh than Czam Pha,Dich y/y,4.603.693.450,,,,,4603693450.0,,
13,13,13,Chong ty CP Du Iich va Thuong maji,Dich y/y,1.804.577.273,,,,,1804577273.0,,
14,14,14,Chong ty CP Đau tu Thuong maji va Dich y/y,Dau diezel,10.327.587.213,,,,,10327587213.0,,
15,15,15,Chong ty CP Vat tai va Đura don thy mo,Dich y/y,11.560.000,,,,,11560000.0,,
16,16,16,Chong ty CP Tin hoo Cheng nighje va MoI truong,Dich y/y,1.127.549.893,,,,,1127549893.0,,
17,17,17,Chong ty CP than Nii Beo,Dich y/y,6.067.067.873,,,,,6067067873.0,,
19,19,19,Chang ty CP Co Khi Mao Khe,Vat tr,82.295.000,,,,,82295000.0,,
20,20,20,Truong cao Dāng nighe Than - Khoang San VN,Dich y/y,7.454.545,,,,,7454545.0,,
21,21,21,Chong ty phat trien conng nighe va triet bi mo,Dich y/y,425.635.046,,,,,425635046.0,,
22,22,22,Trung tam y te lao dōng nqash than,Dich y/y,212.579.000,,,,,212579000.0,,
23,23,23,Chong ty bao hiem BSH Quang Ninh,Dich y/y,44.909.181,,,,,44909181.0,,
