row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Năm 2015,Năm 2014,numeric__Mã số,numeric__Năm 2015,numeric__Năm 2014
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,(512.449.330.532),285.301.115.705,1.0,-512449330532.0,285301115705.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,1.929.152.387.313,1.996.754.227.997,2.0,1929152387313.0,1996754227997.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,210.098.465.052,(10.229.575.814),3.0,210098465052.0,-10229575814.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,908.527.274.406,242.114.991.713,4.0,908527274406.0,242114991713.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(200.669.701.845),(33.923.812.987),5.0,-200669701845.0,-33923812987.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,830.340.230.612,828.636.539.785,6.0,830340230612.0,828636539785.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,3.164.999.325.006,3.308.653.486.399,8.0,3164999325006.0,3308653486399.0
(Tăng)/Giảm các khoản phải thu,Điều chỉnh cho các khoản > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,(820.488.709.330),(475.078.840.182),9.0,-820488709330.0,-475078840182.0
(Tăng)/Giảm hàng tồn kho,Điều chỉnh cho các khoản > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,109.055.532.172,7.107.763.656,10.0,109055532172.0,7107763656.0
