row_label_raw,row_label_full,col_0,Than VND,Điện VND,Khác VND,Tổng cộng VND,numeric__Than VND,numeric__Điện VND,numeric__Khác VND,numeric__Tổng cộng VND
Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,,,,
Doanh thu,Năm 2014 > Doanh thu,Doanh thu,101.116.325.268,10.037.994.090.642,548.820.389.258,10.687.930.805.168,101116325268.0,10037994090642.0,548820389258.0,10687930805168.0
Các khoản giảm trừ,Năm 2014 > Các khoản giảm trừ,Các khoản giảm trừ,-,-,4.328.308,4.328.308,,,4328308.0,4328308.0
Giá vốn hàng bán,Năm 2014 > Giá vốn hàng bán,Giá vốn hàng bán,73.294.295.601,5.077.692.697.064,542.457.910.073,8.941.648.037.927,73294295601.0,5077692697064.0,542457910073.0,8941648037927.0
Lợi nhuận gộp,Năm 2014 > Lợi nhuận gộp,Lợi nhuận gộp,27.822.029.667,1.717.030.611.454,1.425.797.812,1.746.278.438.933,27822029667.0,1717030611454.0,1425797812.0,1746278438933.0
Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,,,,
Doanh thu,Năm 2015 > Doanh thu,Doanh thu,93.624.013.329,10.680.392.760.618,699.454.500.757,11.473.471.274.704,93624013329.0,10680392760618.0,699454500757.0,11473471274704.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,69.770.657.399,8.968.363.872.082,693.954.941.351,9.732.089.470.832,69770657399.0,8968363872082.0,693954941351.0,9732089470832.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,23.853.355.930,1.712.028.888.536,5.499.559.406,1.741.381.803.872,23853355930.0,1712028888536.0,5499559406.0,1741381803872.0
