row_label_raw,row_label_full,col_0,31/12/2015(VND),01/01/2015(VND),numeric__31/12/2015(VND),numeric__01/01/2015(VND)
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,3.385.621.862,748.960.102,3385621862.0,748960102.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",2.636.691.142,446.789.777,2636691142.0,446789777.0
Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,748.930.720,302.170.325,748930720.0,302170325.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,66.803.935.802,294.482.743.391,66803935802.0,294482743391.0
Chênh lệch tỷ giá trong giai đoạn ĐTXD,Chênh lệch tỷ giá trong giai đoạn ĐTXD,Chênh lệch tỷ giá trong giai đoạn ĐTXD,-,206.981.789.378,,206981789378.0
Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,3.459.977.518,6 950.121.689,3459977518.0,
Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,55.354.566.909,79.975.410.911,55354566909.0,79975410911.0
Tiền thuê nhà trả trước nhiều năm,Tiền thuê nhà trả trước nhiều năm,Tiền thuê nhà trả trước nhiều năm,7.189.032.960,-,7189032960.0,
Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,800.358.415,575.421.413,800358415.0,575421413.0
Cộng,Cộng,Cộng,66.803.935.802,295.231.703.493,66803935802.0,295231703493.0
