row_label_raw,row_label_full,Trù:,Trù:_1,Trù:_2,Trù:_3,numeric__Trù:_1,numeric__Trù:_2,numeric__Trù:_3
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.183.821.050),-,(5.183.821.050),-5183821050.0,,-5183821050.0
Dự Phòng giảm giá các khoản đầu tư,Dự Phòng giảm giá các khoản đầu tư,Dự Phòng giảm giá các khoản đầu tư,-,(52.179.781.517),(52.179.781.517),,-52179781517.0,-52179781517.0
Tổng cộng,Tổng cộng,Tổng cộng,2.382.387.603.943,957.269.245.861,3.339.656.849.804,2382387603943.0,957269245861.0,3339656849804.0
Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,,,
Các khoản vay và nợ,Ngày 01/01/2015 > Các khoản vay và nợ,Các khoản vay và nợ,2.490.488.881.982,17.163.963.892.812,19.654.452.774.794,2490488881982.0,17163963892812.0,19654452774794.0
Phải trả người bán,Ngày 01/01/2015 > Phải trả người bán,Phải trả người bán,1.824.393.574.572,655.268.843.609,2.479.662.418.181,1824393574572.0,655268843609.0,2479662418181.0
"Phải trả, PN khác và chi phí phải trả","Ngày 01/01/2015 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",1.603.283.013.787,-,1.603.283.013.787,1603283013787.0,,1603283013787.0
Tổng cộng,Ngày 01/01/2015 > Tổng cộng,Tổng cộng,5.918.165.470.341,17.819.232.736.421,23.737.398.206.762,5918165470341.0,17819232736421.0,23737398206762.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(3.535.777.866.398),(16.861.963.490.560),(20.397.741.356.958),-3535777866398.0,-16861963490560.0,-20397741356958.0
