row_label_raw,row_label_full,col_0,col_1,Năm 2015(VND),Năm 2014(VND),numeric__col_1,numeric__Năm 2015(VND),numeric__Năm 2014(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,190.124.672.775,172.141.984.603,,190124672775.0,172141984603.0
a.,a.,a.,Chi phí nhân viên,92.865.881.482,81.734.115.895,,92865881482.0,81734115895.0
a.,a.,a.,Chi phí khấu hao,14.893.748.520,15.710.237.169,,14893748520.0,15710237169.0
a.,a.,a.,Dịch vụ mua ngoài,12.676.366.627,7.217.731.527,,12676366627.0,7217731527.0
a.,a.,a.,Các khoản khác,69.688.676.146,67.479.900.012,,69688676146.0,67479900012.0
b.,b.,b.,Chi phí bán hàng,1.952.869.104,1.842.019.427,,1952869104.0,1842019427.0
b.,b.,b.,Chi phí nhân viên,498.921.303,474.216.961,,498921303.0,474216961.0
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",864.518.447,827.228.942,,864518447.0,827228942.0
b.,b.,b.,Các khoản khác,589.429.354,540.573.524,,589429354.0,540573524.0
c.,c.,c.,Các khoản ghi giảm chi phí bán hàng và Chi phí quản lý doanh nghiệp,-,-,,,
c.,c. > c.,c.,Cộng,192.077.541.879,173.984.004.030,,192077541879.0,173984004030.0
