row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2015,Năm 2014,numeric__Mã số,numeric__TM,numeric__Năm 2015,numeric__Năm 2014
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,11.473.471.274.704,10.687.930.805.168,1.0,61.0,11473471274704.0,10687930805168.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,6.2,-,4.328.308,2.0,62.0,,4328308.0
Doanh thu thuần từ bán hàng hoá và cung cấp DV,Doanh thu thuần từ bán hàng hoá và cung cấp DV,Doanh thu thuần từ bán hàng hoá và cung cấp DV,10,6.3,11.473.471.274.704,10.687.926.476.860,10.0,63.0,11473471274704.0,10687926476860.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.4,9.732.089.470.832,8.941.648.037.927,11.0,64.0,9732089470832.0,8941648037927.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.741.381.803.872,1.746.278.438.933,20.0,,1741381803872.0,1746278438933.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.5,204.104.601.718,39.089.492.558,21.0,65.0,204104601718.0,39089492558.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.6,2.257.362.784.564,1.298.473.318.166,22.0,66.0,2257362784564.0,1298473318166.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,830.340.230.612,828.636.539.785,23.0,,830340230612.0,828636539785.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.9,1.952.869.104,1.842.019.427,25.0,69.0,1952869104.0,1842019427.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.9,190.124.672.775,172.141.984.603,26.0,69.0,190124672775.0,172141984603.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,(503.953.920.853),312.910.609.295,30.0,,-503953920853.0,312910609295.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.7,4.063.881.428,(33.513.219.784),31.0,67.0,4063881428.0,-33513219784.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.8,12.559.291.107,(5.903.726.194),32.0,68.0,12559291107.0,-5903726194.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,(8.495.409.679),(27.609.493.590),40.0,,-8495409679.0,-27609493590.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,(512.449.330.532),285.301.115.705,50.0,,-512449330532.0,285301115705.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,,-,735.170.696,51.0,,,735170696.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,(512.449.330.532),284.565.945.009,60.0,,-512449330532.0,284565945009.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,61,,(37.448.391.868),17.794.085.011,61.0,,-37448391868.0,17794085011.0
Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,62,,(475.000.938.664),266.771.859.998,62.0,,-475000938664.0,266771859998.0
