row_label_raw,row_label_full,TT,Tên đơn vị,Các khoản công nợ > 131,Các khoản công nợ > 138,Các khoản công nợ > 331,Các khoản công nợ > 335,Các khoản công nợ > 338,Các khoản công nợ > 341,numeric__Tên đơn vị,numeric__Các khoản công nợ > 131,numeric__Các khoản công nợ > 138,numeric__Các khoản công nợ > 331,numeric__Các khoản công nợ > 335,numeric__Các khoản công nợ > 338,numeric__Các khoản công nợ > 341
A,A,A,CÁC KHOẢN NỘ PHẢI THU,385.473.293,2.250.000.000,-,-,-,-,,385473293.0,2250000000.0,,,,
,,,NGĂN HẠN,385.473.293,2.250.000.000,-,-,-,-,,385473293.0,2250000000.0,,,,
1,1,1,Công ty Kho vận và Cảng Cẩm Phả - TKV,,,,,,,,,,,,,
2,1 > 2,2,Tập Đoàn Than - Khoáng Sản Việt Nam,269.649.600,,,,,,,269649600.0,,,,,
3,1 > 3,3,TCT Công nghiệp mô Việt Bắc TKV - CTCP,54.463.893,1.000.000.000,,,,,,54463893.0,1000000000.0,,,,
4,1 > 4,4,Công ty CP Chế tạo máy,55.565.400,,,,,,,55565400.0,,,,,
5,1 > 5,5,Công ty TNHH MTV Môi trường - Vinacomin,,1.250.000.000,,,,,,,1250000000.0,,,,
6,1 > 6,6,Công ty CP than Miền Trung,5.794.400,,,,,,,5794400.0,,,,,
,,,DÀI HẠN,,,,,,,,,,,,,
B,1 > B,B,CÁC KHOẢN PHẢI TRẢ,2.487.809.442,-,313.221.988.540,219.057.277.598,32.758.546.798,11.586.204.921.966,,2487809442.0,,313221988540.0,219057277598.0,32758546798.0,11586204921966.0
,,,NGĂN HẠN,2.487.809.442,-,313.221.988.540,219.057.277.598,32.758.546.798,18.356.594.170,,2487809442.0,,313221988540.0,219057277598.0,32758546798.0,18356594170.0
1,1 > 1,1,Công ty Kho vận và Cảng Cẩm Phả,2.487.809.442,,238.108.514.522,1.029.501.651,,,,2487809442.0,,238108514522.0,1029501651.0,,
2,1 > 2,2,Trường Quản trị kinh doanh,,,9.960.000,,,,,,,9960000.0,,,
3,1 > 3,3,Công ty Tư vấn quản lý dự án,,,1.272.490.877,,,,,,,1272490877.0,,,
4,1 > 4,4,Tập Đoàn Than - Khoáng Sản Việt Nam,,,696.300.000,218.027.775.947,32.758.546.798,18.356.594.170,,,,696300000.0,218027775947.0,32758546798.0,18356594170.0
5,1 > 5,5,TCT Công nghiệp mô Việt Bắc TKV - CTCP,,,13.559.769.540,,,,,,,13559769540.0,,,
6,1 > 6,6,TCT Công nghiệp Hóa chất mô,,,2.355.405.250,,,,,,,2355405250.0,,,
7,1 > 7,7,Công ty CP Chế tạo máy,,,14.359.126,,,,,,,14359126.0,,,
8,1 > 8,8,Công ty TNHH MTV Môi trường - Vinacomin,,,2.490.843.960,,,,,,,2490843960.0,,,
9,1 > 9,9,Viện Khoa học công nghệ Mô,,,437.697.165,,,,,,,437697165.0,,,
10,1 > 10,10,Viện Cơ khí năng lượng và mô,,,381.784.480,,,,,,,381784480.0,,,
11,1 > 11,11,Công ty CP công nghiệp ô tô,,,332.034.000,,,,,,,332034000.0,,,
12,1 > 12,12,Công ty CP Vật tư TKV,,,4.572.225.452,,,,,,,4572225452.0,,,
13,1 > 13,13,Công ty CP Du lịch và Thương mại,,,1.033.914.000,,,,,,,1033914000.0,,,
14,1 > 14,14,Công ty CP Đầu tư Thương mại và Dịch vụ,,,596.754.748,,,,,,,596754748.0,,,
15,1 > 15,15,Công ty CP Tín học Công nghệ và Môi trường,,,699.436.907,,,,,,,699436907.0,,,
16,1 > 16,16,Công ty CP than Núi Béo,,,3.510.726.215,,,,,,,3510726215.0,,,
17,1 > 17,17,Công ty Kho vận Đá Bạc,,,42.904.809.529,,,,,,,42904809529.0,,,
18,1 > 18,18,Công ty CP Cơ khí Mạo Khê,,,111.333.120,,,,,,,111333120.0,,,
19,1 > 19,19,Công ty Địa chất Việt Bắc,,,43.758.649,,,,,,,43758649.0,,,
