row_label_raw,row_label_full,TT,Ten don yi mua,Don yi tinh,Down thu,Down thu_1,Down thu_2,numeric__Ten don yi mua,numeric__Don yi tinh,numeric__Down thu,numeric__Down thu_1,numeric__Down thu_2
TT,TT,TT,Ten don yi mua,Don yi tinh,S6 Luang,Don gia,Gia ti!,,,,,
A,TT > A,A,B,C,1,2,3,,,1.0,2.0,3.0
1,TT > 1,1,Along ty Kho van ya Chang Cam Phia - TKV,tan,139.977,668.852,93.624.013.329,,,139977.0,668852.0,93624013329.0
,,,Along thu ban dhen,,,,93.624.013.329,,,,,93624013329.0
,,,Tong cngg,,,,93.624.013.329,,,,,93624013329.0
