row_label_raw,row_label_full,TT,Ten don vi mua,Gia von > Don vi tinh,Gia von > Sö luwng,Gia von > Jön gia,Gia von > Gia tni (VNP),numeric__Ten don vi mua,numeric__Gia von > Don vi tinh,numeric__Gia von > Sö luwng,numeric__Gia von > Jön gia,numeric__Gia von > Gia tni (VNP)
A,A,A,B,C,1,2,3,,,1.0,2.0,3.0
1,1,1,Cön gy Kho van va Cang Cæm Phia - TKY,tan,3.415.793,1.133.962,3.873.379.344.830,,,3415793.0,1133962.0,3873379344830.0
2,2,2,Cön gy Kho van Da Baic,tan,1.562.278,1.052.334,1.644.037.666.704,,,1562278.0,1052334.0,1644037666704.0
3,3,3,Cön gy Kho van Hon Gai,tan,1.073,1.534.037,1.646.589.005,,,1073.0,1534037.0,1646589005.0
,,,Tön çöng,,4.979.144,,5.519.063.600.539,,,4979144.0,,5519063600539.0
