row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.173.276.908.017,21.271.423.712.344,555.850.825.785,74.444.008.794,439.386.061.654,27.514.381.516.594,5173276908017.0,21271423712344.0,555850825785.0,74444008794.0,439386061654.0,27514381516594.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,1.168.180.000,4.377.829.092,54.250.000,901.740.000,6.501.999.092,,1168180000.0,4377829092.0,54250000.0,901740000.0,6501999092.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,3.810.907.091.056,1.601.693.659.373,12.011.135.435,-,2.385.186.591,5.426.997.072.455,3810907091056.0,1601693659373.0,12011135435.0,,2385186591.0,5426997072455.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,618.690.141,-,15.804.180,-,-,634.494.321,618690141.0,,15804180.0,,,634494321.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,309.160.869,-,-,-,309.160.869,,309160869.0,,,,309160869.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,10.112.856.773,612.511.862,-,-,-,10.725.368.635,10112856773.0,612511862.0,,,,10725368635.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,8.974.689.832.441,22.873.363.878.986,572.255.594.492,74.498.258.794,442.672.988.245,32.937.480.552.958,8974689832441.0,22873363878986.0,572255594492.0,74498258794.0,442672988245.0,32937480552958.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,871.516.064.598,6.372.420.650.477,170.462.862.632,33.595.365.399,120.005.908.138,7.568.000.851.244,871516064598.0,6372420650477.0,170462862632.0,33595365399.0,120005908138.0,7568000851244.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,281.378.983.495,1.513.280.045.160,64.550.353.406,14.989.128.680,54.586.442.808,1.928.784.953.549,281378983495.0,1513280045160.0,64550353406.0,14989128680.0,54586442808.0,1928784953549.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,240.110.886,-,17.427.916,-,988.464.264,1.246.003.066,240110886.0,,17427916.0,,988464264.0,1246003066.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,309.160.869,-,-,-,309.160.869,,309160869.0,,,,309160869.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,1.153.135.158.979,7.885.391.534.768,235.030.643.954,48.584.494.079,175.580.815.210,9.497.722.646.990,1153135158979.0,7885391534768.0,235030643954.0,48584494079.0,175580815210.0,9497722646990.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.301.760.843.419,14.899.003.061.867,385.387.963.153,40.848.643.395,319.380.153.516,19.946.380.665.350,4301760843419.0,14899003061867.0,385387963153.0,40848643395.0,319380153516.0,19946380665350.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,7.821.554.673.462,14.987.972.344.218,337.224.950.538,25.913.764.715,267.092.173.035,23.439.757.905.968,7821554673462.0,14987972344218.0,337224950538.0,25913764715.0,267092173035.0,23439757905968.0
