row_label_raw,row_label_full,Ngày 31/12/2015 > Giá trị ghi số:,Dưới 1 năm > Ngày 31/12/2015 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 31/12/2015 > Giá trị ghi số:,Tổng cộng > Ngày 31/12/2015 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 31/12/2015 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 31/12/2015 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 31/12/2015 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,60.951.887.791,-,60.951.887.791,60951887791.0,,60951887791.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.065.538.477.489,-,3.065.538.477.489,3065538477489.0,,3065538477489.0
Đầu tư,Đầu tư,Đầu tư,-,941.247.404.569,941.247.404.569,,941247404569.0,941247404569.0
Phải thu khác,Phải thu khác,Phải thu khác,102.659.551.688,6.948.429.378,109.607.981.066,102659551688.0,6948429378.0,109607981066.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.228.263.656),-,(5.228.263.656),-5228263656.0,,-5228263656.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(262.182.103.518),(262.182.103.518),,-262182103518.0,-262182103518.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,3.223.921.653.312,686.013.730.429,3.909.935.383.741,3223921653312.0,686013730429.0,3909935383741.0
Ngày 31/12/2015,Ngày 31/12/2015,Ngày 31/12/2015,Ngày 31/12/2015,Ngày 31/12/2015,Ngày 31/12/2015,,,
Các khoản vay và nợ,Ngày 31/12/2015 > Các khoản vay và nợ,Các khoản vay và nợ,2.689.233.088.398,16.521.234.175.107,19.210.467.263.505,2689233088398.0,16521234175107.0,19210467263505.0
Phải trả người bán,Ngày 31/12/2015 > Phải trả người bán,Phải trả người bán,2.050.415.386.319,620.066.861.622,2.670.482.247.941,2050415386319.0,620066861622.0,2670482247941.0
"Phải trả, PN khác và chi phí phải trả","Ngày 31/12/2015 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",495.616.794.845,-,495.616.794.845,495616794845.0,,495616794845.0
Tổng cộng,Ngày 31/12/2015 > Tổng cộng,Tổng cộng,5.235.265.269.562,17.141.301.036.729,22.376.566.306.291,5235265269562.0,17141301036729.0,22376566306291.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.011.343.616.250),(16.455.287.306.300),(18.466.630.922.550),-2011343616250.0,-16455287306300.0,-18466630922550.0
Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,,,
Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,Giá trị ghi số:,,,
Tiền và các khoản tương đương tiền,Giá trị ghi số: > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,62.480.631.711,-,62.480.631.711,62480631711.0,,62480631711.0
Phải thu khách hàng,Giá trị ghi số: > Phải thu khách hàng,Phải thu khách hàng,2.204.806.998.945,-,2.204.806.998.945,2204806998945.0,,2204806998945.0
Đầu tư,Giá trị ghi số: > Đầu tư,Đầu tư,-,1.003.406.910.000,1.003.406.910.000,,1003406910000.0,1003406910000.0
Phải thu khác,Giá trị ghi số: > Phải thu khác,Phải thu khác,120.283.794.337,6.042.117.378,126.325.911.715,120283794337.0,6042117378.0,126325911715.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
