row_label_raw,row_label_full,31/12/2015(VND) > Giá trị,31/12/2015(VND) > Số có khả năng trả nợ,01/01/2015(VND) > Giá trị,01/01/2015(VND) > Số có khả năng trả nợ,numeric__31/12/2015(VND) > Số có khả năng trả nợ,numeric__01/01/2015(VND) > Giá trị,numeric__01/01/2015(VND) > Số có khả năng trả nợ
2.050.415.386.319,2.050.415.386.319,2.050.415.386.319,2.050.415.386.319,1.824.393.574.572,1.824.393.574.572,2050415386319.0,1824393574572.0,1824393574572.0
1.837.172.684.921,1.837.172.684.921,1.837.172.684.921,1.837.172.684.921,1.589.493.808.233,1.589.493.808.233,1837172684921.0,1589493808233.0,1589493808233.0
238.108.514.522,238.108.514.522,238.108.514.522,238.108.514.522,403.084.748.818,403.084.748.818,238108514522.0,403084748818.0,403084748818.0
154.474.335.499,154.474.335.499,154.474.335.499,154.474.335.499,121.392.642.696,121.392.642.696,154474335499.0,121392642696.0,121392642696.0
42.904.809.529,42.904.809.529,42.904.809.529,42.904.809.529,191.735.829.844,191.735.829.844,42904809529.0,191735829844.0,191735829844.0
572.705.030.074,572.705.030.074,572.705.030.074,572.705.030.074,213.128.620.323,213.128.620.323,572705030074.0,213128620323.0,213128620323.0
137.983.977.020,137.983.977.020,137.983.977.020,137.983.977.020,65.369.882.790,65.369.882.790,137983977020.0,65369882790.0,65369882790.0
63.943.250.831,63.943.250.831,63.943.250.831,63.943.250.831,-,-,63943250831.0,,
627.052.767.446,627.052.767.446,627.052.767.446,627.052.767.446,594.782.083.762,594.782.083.762,627052767446.0,594782083762.0,594782083762.0
213.242.701.398,213.242.701.398,213.242.701.398,213.242.701.398,234.899.766.339,234.899.766.339,213242701398.0,234899766339.0,234899766339.0
620.066.861.622,620.066.861.622,620.066.861.622,620.066.861.622,655.268.843.609,655.268.843.609,620066861622.0,655268843609.0,655268843609.0
387.679.456.438,387.679.456.438,387.679.456.438,387.679.456.438,367.727.896.124,367.727.896.124,387679456438.0,367727896124.0,367727896124.0
232.387.405.184,232.387.405.184,232.387.405.184,232.387.405.184,220.427.804.917,220.427.804.917,232387405184.0,220427804917.0,220427804917.0
-,-,-,-,67.113.142.568,67.113.142.568,,67113142568.0,67113142568.0
1.605.711.294.245,1.605.711.294.245,1.605.711.294.245,1.605.711.294.245,2.479.662.418.181,2.479.662.418.181,1605711294245.0,2479662418181.0,2479662418181.0
