row_label_raw,row_label_full,col_0,31/12/2015(VND),31/12/2015(VND)_1,01/01/2015(VND),01/01/2015(VND)_1,numeric__31/12/2015(VND),numeric__31/12/2015(VND)_1,numeric__01/01/2015(VND),numeric__01/01/2015(VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn",20.434.838.856,-,-,-,20434838856.0,,,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",20.434.838.856,,-,-,20434838856.0,,,
b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,76.141.988.226,-,4.716.708.467.642,-,76141988226.0,,4716708467642.0,
- Mua sắm,- Mua sắm,- Mua sắm,-,-,-,-,,,,
- Xây dựng cơ bản,- Mua sắm > - Xây dựng cơ bản,- Xây dựng cơ bản,76.141.988.226,-,4.716.708.467.642,-,76141988226.0,,4716708467642.0,
DA Nhà máy Nhiệt điện Đồng Nai 5,- Mua sắm > DA Nhà máy Nhiệt điện Đồng Nai 5,DA Nhà máy Nhiệt điện Đồng Nai 5,23.532.072.980,-,3.272.757.903.371,-,23532072980.0,,3272757903371.0,
Dự án SG MB TT Điện Lực Vĩnh Tân,- Mua sắm > Dự án SG MB TT Điện Lực Vĩnh Tân,Dự án SG MB TT Điện Lực Vĩnh Tân,-,-,579.272.816.523,-,,,579272816523.0,
DA Nhà máy Nhiệt điện Quỳnh Lập,- Mua sắm > DA Nhà máy Nhiệt điện Quỳnh Lập,DA Nhà máy Nhiệt điện Quỳnh Lập,17.230.670.450,-,16.972.679.428,-,17230670450.0,,16972679428.0,
Dự án Nhà máy Nhiệt điện Na Dương 2,- Mua sắm > Dự án Nhà máy Nhiệt điện Na Dương 2,Dự án Nhà máy Nhiệt điện Na Dương 2,5.807.169.036,-,5.420.389.475,-,5807169036.0,,5420389475.0,
Dự án bãi thải xi NMND Sơn Đông,- Mua sắm > Dự án bãi thải xi NMND Sơn Đông,Dự án bãi thải xi NMND Sơn Đông,-,-,4.052.405.296,-,,,4052405296.0,
"Bồi thường, GPMB khu đồ xi Đồng Giếng To","- Mua sắm > Bồi thường, GPMB khu đồ xi Đồng Giếng To","Bồi thường, GPMB khu đồ xi Đồng Giếng To",2.922.993.200,-,10.859.634.378,-,2922993200.0,,10859634378.0,
Xây dựng bãi thải xi Nhà máy Nhiệt điện Na Dương,- Mua sắm > Xây dựng bãi thải xi Nhà máy Nhiệt điện Na Dương,Xây dựng bãi thải xi Nhà máy Nhiệt điện Na Dương,19.271.270.832,-,17.274.583.832,-,19271270832.0,,17274583832.0,
Dự án nhà máy Nhiệt điện Nông Sơn,- Mua sắm > Dự án nhà máy Nhiệt điện Nông Sơn,Dự án nhà máy Nhiệt điện Nông Sơn,137.098.456,,792.771.512.819,,137098456.0,,792771512819.0,
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,7.240.713.272,-,17.326.542.520,-,7240713272.0,,17326542520.0,
Cộng,- Mua sắm > Cộng,Cộng,96.576.827.082,-,4.716.708.467.642,-,96576827082.0,,4716708467642.0,
