row_label_raw,row_label_full,col_0,Nguyên tệ,VND,numeric__Nguyên tệ,numeric__VND
Ngoại tệ,Ngoại tệ,Ngoại tệ,"1.182.825,45 #",26.554.431.352,,26554431352.0
Đồng Việt Nam,Đồng Việt Nam,Đồng Việt Nam,,33.596.945.579,,33596945579.0
Cộng,Cộng,Cộng,"1.182.825,45",60.151.376.931,1182825.45,60151376931.0
