row_label_raw,row_label_full,col_0,01/01/2015(VND),Số phải nộptrong năm,Số đã thực nộptrong năm,31/12/2015(VND),numeric__01/01/2015(VND),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__31/12/2015(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,27.231.735.274,475.603.849.947,424.525.169.186,78.310.416.035,27231735274.0,475603849947.0,424525169186.0,78310416035.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,3.259.877.437,3.259.874.145,3.292,,3259877437.0,3259874145.0,3292.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,735.170.696,-,735.170.696,-,735170696.0,,735170696.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,266.004.849,1.352.605.051,1.384.914.958,233.694.942,266004849.0,1352605051.0,1384914958.0,233694942.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,2.665.567.710,14.357.434.010,16.542.762.442,480.239.278,2665567710.0,14357434010.0,16542762442.0,480239278.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,181.713.860,3.049.016.397,3.211.326.164,19.404.093,181713860.0,3049016397.0,3211326164.0,19404093.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,4.675.673.745,4.675.673.745,-,,4675673745.0,4675673745.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",1.692.599.000,4.822.946.665,6.509.060.337,6.485.328,1692599000.0,4822946665.0,6509060337.0,6485328.0
Cộng,Phải nộp > Cộng,Cộng,32.772.791.389,507.121.403.252,460.843.951.673,79.050.242.968,32772791389.0,507121403252.0,460843951673.0,79050242968.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,4.113.912.472,4.113.912.472,255.542.742,255.542.742,4113912472.0,4113912472.0,255542742.0,255542742.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,-,-,413.904.592,413904592.0,,,413904592.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,710.312.553,412.366.258,120.492.924,418.439.219,710312553.0,412366258.0,120492924.0,418439219.0
Thuế tài nguyên,Phải thu > Thuế tài nguyên,Thuế tài nguyên,-,-,4.562.963.210,4.562.963.210,,,4562963210.0,4562963210.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,1.594.652.967,1.000.000,-,1.593.652.967,1594652967.0,1000000.0,,1593652967.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",-,-,-,-,,,,
Cộng,"Các khoản phí, lệ phí và các khoản phải nộp khác > Cộng",Cộng,6.832.782.584,4.527.278.730,4.938.998.876,7.244.502.730,6832782584.0,4527278730.0,4938998876.0,7244502730.0
