row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ SH VND,Thặng dư vốn cổ phần VND,Vốn khác của CSH VND,Quỹ đầu tư phát triển VND,Quỹ DP Tài chính VND,Quỹ khác thuộc vốn CSH VND,Lợi ích cổ đông không kiểm soát VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ SH VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của CSH VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ DP Tài chính VND,numeric__Quỹ khác thuộc vốn CSH VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
đầu năm trước,đầu năm trước,đầu năm trước,5.261.051.925.673,-,1.112.345.011,10.548.019.393,6.035.939.380,4.753.552.105,-,(637.469.792.428),4.646.031.989.134,5261051925673.0,,1112345011.0,10548019393.0,6035939380.0,4753552105.0,,-637469792428.0,4646031989134.0
ón năm trước,ón năm trước,ón năm trước,68.077.403.000,-,-,,,-,-,-,68.077.403.000,68077403000.0,,,,,,,,68077403000.0
ng năm trước,ng năm trước,ng năm trước,-,-,-,,,-,-,266.771.859.998,266.771.859.998,,,,,,,,266771859998.0,266771859998.0
hác,hác,hác,-,18.746.488,-,12.085.525.933,,-,239.042.872.480,-,251.147.144.901,,18746488.0,,12085525933.0,,,239042872480.0,,251147144901.0
ón năm trước,ón năm trước,ón năm trước,-,-,-,-,,-,-,-,-,,,,,,,,,
ng năm trước,ng năm trước,ng năm trước,-,-,-,,,-,-,-,-,,,,,,,,,
hác,ng năm trước > hác,hác,-,-,(1.112.345.011),-,(6.035.939.380),(4.753.552.105),(49.971.541.804),(1.250.826.308),(63.124.204.608),,,-1112345011.0,,-6035939380.0,-4753552105.0,-49971541804.0,-1250826308.0,-63124204608.0
cưới năm đầu năm này,ng năm trước > cưới năm đầu năm này,cưới năm đầu năm này,5.329.129.328.673,18.746.488,-,22.633.545.326,-,-,189.071.330.676,(371.948.758.738),5.168.904.192.425,5329129328673.0,18746488.0,,22633545326.0,,,189071330676.0,-371948758738.0,5168904192425.0
ón năm này,ng năm trước > ón năm này,ón năm này,1.103.221.849.850,-,-,,-,-,-,-,1.103.221.849.850,1103221849850.0,,,,,,,,1103221849850.0
ng năm này,ng năm này,ng năm này,-,-,-,,-,-,-,-,-,,,,,,,,,
hác,ng năm này > hác,hác,4.616.147.274,-,-,,-,-,-,-,4.616.147.274,4616147274.0,,,,,,,,4616147274.0
ón năm này,ón năm này,ón năm này,-,-,-,,-,-,-,-,-,,,,,,,,,
ng năm này,ón năm này > ng năm này,ng năm này,-,-,-,,-,-,-,(475.125.513.469),(475.125.513.469),,,,,,,,-475125513469.0,-475125513469.0
hác,ón năm này > hác,hác,-,-,-,(4.616.147.274),-,-,(37.323.817.063),-,(41.939.964.337),,,,-4616147274.0,,,-37323817063.0,,-41939964337.0
cưới năm này,ón năm này > cưới năm này,cưới năm này,6.436.967.325.797,18.746.488,-,18.017.398.052,-,-,151.747.513.613,(847.074.272.207),5.759.676.711.743,6436967325797.0,18746488.0,,18017398052.0,,,151747513613.0,-847074272207.0,5759676711743.0
