row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính VND,TSCĐVH Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính VND,numeric__TSCĐVH Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.578.990.028,943.125.579,227.726.364,3.749.841.971,2578990028.0,943125579.0,227726364.0,3749841971.0
- Mua trong năm,- Mua trong năm,- Mua trong năm,-,513 000 000,-,513 000 000,,,,
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,33 899 779 267,-,-,33 899 779 267,,,,
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
- Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,36.478.769.295,1.456.125.579,227.726.364,38.162.621.238,36478769295.0,1456125579.0,227726364.0,38162621238.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư đầu nămỷ,GIÁ TRỊ HAO MÒN > Số dư đầu nămỷ,Số dư đầu nămỷ,36.035.754,773.359.577,86.640.060,896.035.391,36035754.0,773359577.0,86640060.0,896035391.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,742.228.078,190.156.961,28.695.519,961.080.558,742228078.0,190156961.0,28695519.0,961080558.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
- Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,778.263.832,963.516.538,115.335.579,1.857.115.949,778263832.0,963516538.0,115335579.0,1857115949.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu kỳ,GIÁ TRỊ CÒN LẠI > Tại ngày đầu kỳ,Tại ngày đầu kỳ,2.542.954.274,169.766.002,141.086.304,2.853.806.580,2542954274.0,169766002.0,141086304.0,2853806580.0
Tại ngày cuối kỳ,GIÁ TRỊ CÒN LẠI > Tại ngày cuối kỳ,Tại ngày cuối kỳ,35.700.505.463,492.609.041,112.390.785,36.305.505.289,35700505463.0,492609041.0,112390785.0,36305505289.0
