row_label_raw,row_label_full,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm > Xử lý rủi ro trong năm,Năm 2021triệu đồng > 136.992(302) > (98.000),Năm 2020triệu đồng > 92.84643.870 > -,numeric__Năm 2021triệu đồng > 136.992(302) > (98.000),numeric__Năm 2020triệu đồng > 92.84643.870 > -
Tăng khác,Tăng khác,Tăng khác,-,276,,276.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,38.690,136.992,38690.0,136992.0
