row_label_raw,row_label_full,col_0,Năm 2021triêu đồng,Năm 2020triêu đồng,numeric__Năm 2021triêu đồng,numeric__Năm 2020triêu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",63.119,64.173,63119.0,64173.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,2.356.889,2.041.771,2356889.0,2041771.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,2.140.617,1.828.678,2140617.0,1828678.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,144.300,134.437,144300.0,134437.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,44.004,43.042,44004.0,43042.0
Các khoản chi khác,Các khoản chi khác,Các khoản chi khác,27.968,35.614,27968.0,35614.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,539.442,506.495,539442.0,506495.0
Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,95.955,94.726,95955.0,94726.0
Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,101.736,92.766,101736.0,92766.0
Thuê tài sản,Thuê tài sản,Thuê tài sản,283.756,251.743,283756.0,251743.0
Mua sắm công cụ lao động,Mua sắm công cụ lao động,Mua sắm công cụ lao động,44.163,54.357,44163.0,54357.0
Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,13.632,12.903,13632.0,12903.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,834.845,763.148,834845.0,763148.0
Công tác phí,Công tác phí,Công tác phí,31.959,36.611,31959.0,36611.0
"Chi quảng cáo, khuyến mãi","Chi quảng cáo, khuyến mãi","Chi quảng cáo, khuyến mãi",156.655,125.021,156655.0,125021.0
"Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn",32.021,19.470,32021.0,19470.0
Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,614.210,582.046,614210.0,582046.0
"Chi nộp phi bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phi bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phi bảo hiểm, bảo toàn tiền gửi của khách hàng",67.159,74.898,67159.0,74898.0
(Hoàn nhập)/Trich lập chi phí dự phòng(không tính chi phí dự phòng rút ro tín dụngnội và ngoại bảng; chi phí dự phòng giảmgiá chứng khoản),(Hoàn nhập)/Trich lập chi phí dự phòng(không tính chi phí dự phòng rút ro tín dụngnội và ngoại bảng; chi phí dự phòng giảmgiá chứng khoản),(Hoàn nhập)/Trich lập chi phí dự phòng(không tính chi phí dự phòng rút ro tín dụngnội và ngoại bảng; chi phí dự phòng giảmgiá chứng khoản),(302),43.870,-302.0,43870.0
,,,3.861.152,3.494.355,3861152.0,3494355.0
