row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,Ngày 31 tháng 12năm 2020triệu đồng,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__Ngày 31 tháng 12năm 2020triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,70.591,41.411,70591.0,41411.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,241.920.764,192.588.581,241920764.0,192588581.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,5.288.413,5.973.601,5288413.0,5973601.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,5.297.947,5.973.649,5297947.0,5973649.0
Cam kết giao dịch hoán đổi tiền tệ,Cam kết giao dịch hoán đổi tiền tệ,Cam kết giao dịch hoán đổi tiền tệ,231.334.404,180.641.331,231334404.0,180641331.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,9.529.543,5.774.141,9529543.0,5774141.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,9.827.025,5.936.801,9827025.0,5936801.0
- Trừ: Tiến ký quỹ,- Trừ: Tiến ký quỹ,- Trừ: Tiến ký quỹ,(297.482),(162.660),-297482.0,-162660.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,15.331.738,8.889.537,15331738.0,8889537.0
Cam kết bảo lãnh thanh toán,Cam kết bảo lãnh thanh toán,Cam kết bảo lãnh thanh toán,2.892.812,1.980.227,2892812.0,1980227.0
Cam kết bảo lãnh thực hiện hợp đồng,Cam kết bảo lãnh thực hiện hợp đồng,Cam kết bảo lãnh thực hiện hợp đồng,3.728.934,2.381.987,3728934.0,2381987.0
Cam kết bảo lãnh dự thầu,Cam kết bảo lãnh dự thầu,Cam kết bảo lãnh dự thầu,1.081.072,634.917,1081072.0,634917.0
Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,8.494.992,4.284.326,8494992.0,4284326.0
- Trừ: Tiến ký quỹ,- Trừ: Tiến ký quỹ,- Trừ: Tiến ký quỹ,(866.072),(391.920),-866072.0,-391920.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,8.434.389,8.854.611,8434389.0,8854611.0
