row_label_raw,row_label_full,col_0,Năm 2021triệu đồng,Năm 2020triệu đồng,numeric__Năm 2021triệu đồng,numeric__Năm 2020triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.243.169,1.133.427,3243169.0,1133427.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,665.031,548.257,665031.0,548257.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,5.681,6.923,5681.0,6923.0
Thu từ nghiệp vụ ủy thác và đại lý,Thu từ nghiệp vụ ủy thác và đại lý,Thu từ nghiệp vụ ủy thác và đại lý,1.850.107,134.625,1850107.0,134625.0
Thu từ dịch vụ khác,Thu từ dịch vụ khác,Thu từ dịch vụ khác,722.350,443.622,722350.0,443622.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(374.768),(318.162),-374768.0,-318162.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(219.814),(173.673),-219814.0,-173673.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(9.008),(11.355),-9008.0,-11355.0
Chi từ dịch vụ khác,Chi từ dịch vụ khác,Chi từ dịch vụ khác,(145.946),(133.134),-145946.0,-133134.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.868.401,815.265,2868401.0,815265.0
