row_label_raw,row_label_full,col_0,Thuyếtmình,Ngày 31 tháng 12năm 2021triệu đồng,Ngày 31 tháng 12năm 2020triệu đồng,numeric__Thuyếtmình,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__Ngày 31 tháng 12năm 2020triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.524.098,2.204.642,5.0,1524098.0,2204642.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,3.056.568,1.850.890,6.0,3056568.0,1850890.0
"Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác",7,33.271.936,16.977.765,7.0,33271936.0,16977765.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,19.739.194,14.730.353,,19739194.0,14730353.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,13.532.742,2.247.412,,13532742.0,2247412.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,23.487,21.050,8.0,23487.0,21050.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,39.287,39.287,,39287.0,39287.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(15.800),(18.237),,-15800.0,-18237.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,99.555.096,78.183.477,,99555096.0,78183477.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,101.201.458,79.015.568,10.0,101201458.0,79015568.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(1.646.362),(832.091),11.0,-1646362.0,-832091.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,,2.149,12.0,,2149.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,2.744,2.744,,2744.0,2744.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(2.744),(595),,-2744.0,-595.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,48.226.133,55.676.927,13.0,48226133.0,55676927.0
Chứng khoán đầu tư sẵn sáng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sáng để bán,Chứng khoán đầu tư sẵn sáng để bán,,48.257.483,55.845.414,,48257483.0,55845414.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(31.350),(168.487),,-31350.0,-168487.0
"Gớp vốn, đầu tư dài hạn","TÀI SẢN > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",14,698.312,798.312,14.0,698312.0,798312.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,697.076,797.076,,697076.0,797076.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,1.236,1.236,,1236.0,1236.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,291.185,287.324,,291185.0,287324.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15,131.384,124.939,15.0,131384.0,124939.0
Nguyễn giá tài sản cố định,TÀI SẢN > Nguyễn giá tài sản cố định,Nguyễn giá tài sản cố định,,607.238,681.113,,607238.0,681113.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(475.854),(556.174),,-475854.0,-556174.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,16,159.801,162.385,16.0,159801.0,162385.0
Nguyễn giá tài sản cố định,TÀI SẢN > Nguyễn giá tài sản cố định,Nguyễn giá tài sản cố định,,495.306,448.311,,495306.0,448311.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(335.505),(285.926),,-335505.0,-285926.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,17,17.119.092,20.828.019,17.0,17119092.0,20828019.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,17.1,10.114.101,14.092.677,171.0,10114101.0,14092677.0
