row_label_raw,row_label_full,col_0,Quyên sử dụng đất triệu đồng,Phân mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyên sử dụng đất triệu đồng,numeric__Phân mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,
Số dư đầu năm,Nguyên giả > Số dư đầu năm,Số dư đầu năm,34.941,396.327,17.043,448.311,34941.0,396327.0,17043.0,448311.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,-,45.397,1.598,46.995,,45397.0,1598.0,46995.0
Số dư cuối năm,Nguyên giả > Số dư cuối năm,Số dư cuối năm,34.941,441.724,18.641,495.306,34941.0,441724.0,18641.0,495306.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,281.181,4.745,285.926,,281181.0,4745.0,285926.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,47.202,2.377,49.579,,47202.0,2377.0,49579.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,328.383,7.122,335.505,,328383.0,7122.0,335505.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.941,115.146,12.298,162.385,34941.0,115146.0,12298.0,162385.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.941,113.341,11.519,159.801,34941.0,113341.0,11519.0,159801.0
