row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tãitriệu đồng,Thiết bịdụng cụ quản lýtriệu đồng,TSCDhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tãitriệu đồng,numeric__Thiết bịdụng cụ quản lýtriệu đồng,numeric__TSCDhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.498,455.388,107.325,93.313,589,681.113,24498.0,455388.0,107325.0,93313.0,589.0,681113.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,48.103,-,5.368,-,53.471,,48103.0,,5368.0,,53471.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(100.209),(12.257),(14.790),(90),(127.346),,-100209.0,-12257.0,-14790.0,-90.0,-127346.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.498,403.282,95.068,83.891,499,607.238,24498.0,403282.0,95068.0,83891.0,499.0,607238.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,10.371,386.101,80.356,78.833,513,556.174,10371.0,386101.0,80356.0,78833.0,513.0,556174.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,417,31.257,6.471,8.204,27,46.376,417.0,31257.0,6471.0,8204.0,27.0,46376.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(99.591),(12.242),(14.773),(90),(126.696),,-99591.0,-12242.0,-14773.0,-90.0,-126696.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,10.788,317.767,74.585,72.264,450,475.854,10788.0,317767.0,74585.0,72264.0,450.0,475854.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.127,69.287,26.969,14.480,76,124.939,14127.0,69287.0,26969.0,14480.0,76.0,124939.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.710,85.515,20.483,11.627,49,131.384,13710.0,85515.0,20483.0,11627.0,49.0,131384.0
