row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021Phải thu/(Phải trả)triệu đồng,Ngày 31 tháng 12năm 2020Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2021Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2020Phải thu/(Phải trả)triệu đồng
"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con","Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con","Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con","Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con","Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con",,
Góp vốn,"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con > Góp vốn",Góp vốn,697.076,697.076,697076.0,697076.0
Tiền gửi thanh toán,"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con > Tiền gửi thanh toán",Tiền gửi thanh toán,(217.916),(234.168),-217916.0,-234168.0
Hoạt động mua nợ,"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con > Hoạt động mua nợ",Hoạt động mua nợ,2.744,2.744,2744.0,2744.0
Các khoản phải thu khác,"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con > Các khoản phải thu khác",Các khoản phải thu khác,61,61,61.0,61.0
Các khoản phải trả khác,"Công ty Tài chính TNHH MTV Cộng đồng (""FCCOM"") – Công ty con > Các khoản phải trả khác",Các khoản phải trả khác,(9),(232),-9.0,-232.0
"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn",,
Tiền gửi,"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn > Tiền gửi",Tiền gửi,(936.304),(20.830),-936304.0,-20830.0
Các khoản phải trả khác,"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn > Các khoản phải trả khác",Các khoản phải trả khác,(23.462),-,-23462.0,
CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(2.182),(1.676),-2182.0,-1676.0
CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(81.861),-,-81861.0,
Các khoản phải trả khác,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị > Các khoản phải trả khác,Các khoản phải trả khác,(400),-,-400.0,
CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị,,
Tiền gửi,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị > Tiền gửi,Tiền gửi,(12.676),-,-12676.0,
Các khoản phải trả khác,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viênHội đồng Quản trị > Các khoản phải trả khác,Các khoản phải trả khác,(15),-,-15.0,
