row_label_raw,row_label_full,col_0,Vốn điều lệ,Thếng dư vốncố phần,Cố phiếu quỹ,Quỹ đầu tưphát triển,Quỹdự phòngtải chính,Quỹ dự trởbố sungvốn điều lệ,Vốn đầu tưxây dựngco bản,Lợi nhuận sauthuế chuephản phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thếng dư vốncố phần,numeric__Cố phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹdự phòngtải chính,numeric__Quỹ dự trởbố sungvốn điều lệ,numeric__Vốn đầu tưxây dựngco bản,numeric__Lợi nhuận sauthuế chuephản phối,numeric__Tổng cộng
Ngày 01 tháng 01năm 2020,Ngày 01 tháng 01năm 2020,Ngày 01 tháng 01năm 2020,11.750.000,400.000,(1.040.655),3.397,627.925,189.003,608,2.901.665,14.831.943,11750000.0,400000.0,-1040655.0,3397.0,627925.0,189003.0,608.0,2901665.0,14831943.0
Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,-,2.002.614,2.002.614,,,,,,,,2002614.0,2002614.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,103.628,51.814,-,(155.442),-,,,,,103628.0,51814.0,,-155442.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(715),-,-,-,(715),,,,,-715.0,,,,-715.0
Ngày 01 tháng 01năm 2021,Ngày 01 tháng 01năm 2021,Ngày 01 tháng 01năm 2021,11.750.000,400.000,(1.040.655),3.397,730.838,240.817,608,4.748.837,16.833.842,11750000.0,400000.0,-1040655.0,3397.0,730838.0,240817.0,608.0,4748837.0,16833842.0
Tăng vốn trongnăm,Tăng vốn trongnăm,Tăng vốn trongnăm,3.525.000,-,-,-,-,-,-,(3.524.976),24,3525000.0,,,,,,,-3524976.0,24.0
Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,-,4.126.105,4.126.105,,,,,,,,4126105.0,4126105.0
Bán cố phiếu quỹ,Bán cố phiếu quỹ,Bán cố phiếu quỹ,-,91.710,1.040.655,-,-,-,-,-,1.132.365,,91710.0,1040655.0,,,,,,1132365.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,200.261,100.131,-,(300.392),-,,,,,200261.0,100131.0,,-300392.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(178),-,-,-,(178),,,,,-178.0,,,,-178.0
Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021,15.275.000,491.710,-,3.397,930.921,340.948,608,5.049.574,22.092.158,15275000.0,491710.0,,3397.0,930921.0,340948.0,608.0,5049574.0,22092158.0
