row_label_raw,row_label_full,Cổ tức nhận được trong năm từ góp vốn mua cổ phần,Năm 2021triệu đồng > -,Năm 2020triệu đồng > 189,numeric__Năm 2021triệu đồng > -,numeric__Năm 2020triệu đồng > 189
Thu từ thanh lý công ty con,Thu từ thanh lý công ty con,Thu từ thanh lý công ty con,225.775,-,225775.0,
Các khoản chỉ phí khác cho góp vốn mua cổ phần,Các khoản chỉ phí khác cho góp vốn mua cổ phần,Các khoản chỉ phí khác cho góp vốn mua cổ phần,(365),-,-365.0,
,,,225.410,189,225410.0,189.0
