row_label_raw,row_label_full,col_0,Nợ đủ tiêu chuẩn triệu đồng,Nợ cần chủ ý triệu đồng,Nợ dưới tiêu chuẩn triệu đồng,Nợ nghi ngơ năng mất vốn triệu đồng,Nợ có khả Tống cộng triệu đồng,numeric__Nợ đủ tiêu chuẩn triệu đồng,numeric__Nợ cần chủ ý triệu đồng,numeric__Nợ dưới tiêu chuẩn triệu đồng,numeric__Nợ nghi ngơ năng mất vốn triệu đồng,numeric__Nợ có khả Tống cộng triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,25.131.342,-,-,-,25.131.342,25131342.0,,,,25131342.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,98.390.093,1.126.947,310.082,428.224,946.112 101.201.458,98390093.0,1126947.0,310082.0,428224.0,
"Hoạt động mua nợ Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Hoạt động mua nợ Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Hoạt động mua nợ Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",20.858.631,-,-,-,2.744 2.744,20858631.0,,,,
Tài sản có rủi ro tin dụng khác,Tài sản có rủi ro tin dụng khác,Tài sản có rủi ro tin dụng khác,2.851.159,161.000,-,-,40.898 3.053.057,2851159.0,161000.0,,,
Tổng cộng,Tổng cộng,Tổng cộng,147.231.225,1.287.947,310.082,428.224,989.754 150.247.232,147231225.0,1287947.0,310082.0,428224.0,
