row_label_raw,row_label_full,col_0,Ghi nhân giá trị hợp lý thông qua lãi lỗ triệu đồng,Năm giữ đến ngày đáo hạn triệu đồng,Cho vay và phải thu triệu đồng,Sản sàng để bán triệu đồng,Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Tổng công triệu đồng,Giá trị hợp lý triệu đồng,numeric__Ghi nhân giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Năm giữ đến ngày đáo hạn triệu đồng,numeric__Cho vay và phải thu triệu đồng,numeric__Sản sàng để bán triệu đồng,numeric__Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Tổng công triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",1.524.098,-,-,-,-,1.524.098,1.524.098,1524098.0,,,,,1524098.0,1524098.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.056.568,-,-,3.056.568,(*),,,3056568.0,,,3056568.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,33.271.936,-,-,33.271.936,(*),,,33271936.0,,,33271936.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,39.287,-,-,-,-,39.287,(*),39287.0,,,,,39287.0,
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,-,-,101.204.202,-,-,101.204.202,(*),,,101204202.0,,,101204202.0,
Chứng khoán đầu tư sản sàng để bán,Chứng khoán đầu tư sản sàng để bán,Chứng khoán đầu tư sản sàng để bán,-,-,-,48.257.483,-,48.257.483,(*),,,,48257483.0,,48257483.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.236,-,1.236,(*),,,,1236.0,,1236.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,17.050.680,-,-,17.050.680,(*),,,17050680.0,,,17050680.0,
,,,1.563.385,-,154.583.386,48.258.719,-,204.405.490,,1563385.0,,154583386.0,48258719.0,,204405490.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,1.017.253,1.017.253,(*),,,,,1017253.0,1017253.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,68.083.520,68.083.520,(*),,,,,68083520.0,68083520.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,94.612.912,94.612.912,(*),,,,,94612912.0,94612912.0,
Công cu tài chính phải sinh và công nợ tài chính khác,Công cu tài chính phải sinh và công nợ tài chính khác,Công cu tài chính phải sinh và công nợ tài chính khác,76.833,-,-,-,-,76.833,,76833.0,,,,,76833.0,
Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,-,-,13.042.540,13.042.540,(*),,,,,13042540.0,13042540.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.736.214,3.736.214,(*),,,,,3736214.0,3736214.0,
,,,76.833,-,-,-,180.492.439,180.569.272,,76833.0,,,,180492439.0,180569272.0,
