row_label_raw,row_label_full,col_0,Năm 2021Doanh thu/(Chi phí)triệu đồng,Năm 2020Doanh thu/(Chi phí)triệu đồng,numeric__Năm 2021Doanh thu/(Chi phí)triệu đồng,numeric__Năm 2020Doanh thu/(Chi phí)triệu đồng
Thu nhập từ phí dịch vụ,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,6,-,6.0,
CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(30),-,-30.0,
Thu nhập từ phí dịch vụ,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,37,-,37.0,
"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này",,
Thủ lao Hội đồng quản trị,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thủ lao Hội đồng quản trị",Thủ lao Hội đồng quản trị,(18.421),(15.522),-18421.0,-15522.0
Thủ lao của Ban kiểm soát,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thủ lao của Ban kiểm soát",Thủ lao của Ban kiểm soát,(4.783),(4.780),-4783.0,-4780.0
Lương của Tổng Giám đốc và các Phó Tổng Giám đốc,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Lương của Tổng Giám đốc và các Phó Tổng Giám đốc",Lương của Tổng Giám đốc và các Phó Tổng Giám đốc,(27.985),(30.822),-27985.0,-30822.0
Thu nhập lãi tiền vay,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thu nhập lãi tiền vay",Thu nhập lãi tiền vay,1.705,1.437,1705.0,1437.0
Thu nhập từ phí dịch vụ,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thu nhập từ phí dịch vụ",Thu nhập từ phí dịch vụ,263,119,263.0,119.0
Chi phí lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Chi phí lãi tiền gửi",Chi phí lãi tiền gửi,(2.112),(3.239),-2112.0,-3239.0
Chi phí lãi giấy tờ có giả,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Chi phí lãi giấy tờ có giả",Chi phí lãi giấy tờ có giả,(7),(34),-7.0,-34.0
