row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm (Trình bày lại) > Giá gốc,Số đầu năm (Trình bày lại) > Dự phòng,Số đầu năm (Trình bày lại) > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm (Trình bày lại) > Giá gốc,numeric__Số đầu năm (Trình bày lại) > Dự phòng,numeric__Số đầu năm (Trình bày lại) > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty TNHH YAMAHA MOTOR Việt Nam (*),Đầu tư vào công ty liên kết > Công ty TNHH YAMAHA MOTOR Việt Nam (*),Công ty TNHH YAMAHA MOTOR Việt Nam (*),367.206.753.212,-,367.206.753.212,1.171.407.656.100,-,1.171.407.656.100,367206753212.0,,367206753212.0,1171407656100.0,,1171407656100.0
Công ty TNHH Việt Thành Thái,Đầu tư vào công ty liên kết > Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,45.092.785.462,-,45.092.785.462,45.092.785.462,-,45.092.785.462,45092785462.0,,45092785462.0,45092785462.0,,45092785462.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,,-,,,,,,,,,,
Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Nhật Cái Lân,Nhật Cái Lân,26.139.084.964,,26.139.084.964,26.139.084.964,-,26.139.084.964,26139084964.0,,26139084964.0,26139084964.0,,26139084964.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,,-,,,,,,,,,,
Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Nhật,Nhật,22.525.816.641,,22.525.816.641,22.525.816.641,-,22.525.816.641,22525816641.0,,22525816641.0,22525816641.0,,22525816641.0
Công ty Liên doanh Nuôi và Phát triển khí Việt,Công ty Liên doanh Nuôi và Phát triển khí Việt,Công ty Liên doanh Nuôi và Phát triển khí Việt,,-,,,,,,,,,,
Nam (*),Công ty Liên doanh Nuôi và Phát triển khí Việt > Nam (*),Nam (*),18.434.398.669,,18.434.398.669,19.258.002.922,-,19.258.002.922,18434398669.0,,18434398669.0,19258002922.0,,19258002922.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,Công ty TNHH Sản xuất Nguyên liệu giấy Việt,,-,,,,,,,,,,
Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Nhật Vũng Áng,Nhật Vũng Áng,12.401.394.337,,12.401.394.337,12.401.394.337,-,12.401.394.337,12401394337.0,,12401394337.0,12401394337.0,,12401394337.0
Công ty Cổ phần Cơ Đỏ (*),Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Công ty Cổ phần Cơ Đỏ (*),Công ty Cổ phần Cơ Đỏ (*),11.525.782.967,-,11.525.782.967,11.661.413.998,-,11.661.413.998,11525782967.0,,11525782967.0,11661413998.0,,11661413998.0
Công ty Cổ phần Lâm nghiệp 19 (*),Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Công ty Cổ phần Lâm nghiệp 19 (*),Công ty Cổ phần Lâm nghiệp 19 (*),8.054.284.341,-,8.054.284.341,9.340.054.080,-,9.340.054.080,8054284341.0,,8054284341.0,9340054080.0,,9340054080.0
Công ty TNHH Nguyên liệu giấy Quy Nhơn (*),Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Công ty TNHH Nguyên liệu giấy Quy Nhơn (*),Công ty TNHH Nguyên liệu giấy Quy Nhơn (*),5.787.821.081,-,5.787.821.081,5.901.601.410,-,5.901.601.410,5787821081.0,,5787821081.0,5901601410.0,,5901601410.0
