row_label_raw,row_label_full,Bên liên quan Phải thu ngắn hạn của khách hàng,Mối quan hệ,Nội dung nghiệp vụ (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty TNHH Việt Nhật Chế biến gỗ và Đảm gỗ Dung Quát,Công ty TNHH Việt Nhật Chế biến gỗ và Đảm gỗ Dung Quát,Công ty TNHH Việt Nhật Chế biến gỗ và Đảm gỗ Dung Quát,Công ty liên kết,Bán hàng hóa,-,8.108.108.800,,,,8108108800.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa,687.284.229,7.163.783.900,,,687284229.0,7163783900.0
Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty TNHH Ván dán OJI – Vinafor Bắc Giang,Công ty liên kết,Bán hàng hóa,-,5.109.874.650,,,,5109874650.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Bán hàng hóa,812.757.758,672.150.039,,,812757758.0,672150039.0
Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,Công ty con,Bán hàng hóa,-,107.717.989,,,,107717989.0
Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Yamaha MOTOR Việt Nam,Công ty liên kết,Cho thuê văn phòng và các dịch vụ phụ trợ khác,74.053.568,81.315.138,,,74053568.0,81315138.0
