row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26.1,730.064.172.805,361.630.321.677,,261.0,730064172805.0,361630321677.0
02,02,02,2. Các khoản giảm trừ doanh thu,26.1,-,-,,261.0,,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,26.1,730.064.172.805,361.630.321.677,,261.0,730064172805.0,361630321677.0
11,11,11,4. Giá vốn hàng bán và cung cấp dịch vụ,27,(634.701.453.743),(331.549.368.751),,27.0,-634701453743.0,-331549368751.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,95.362.719.062,30.080.952.926,,,95362719062.0,30080952926.0
21,21,21,6. Doanh thu hoạt động tài chính,26.2,473.277.077.088,46.918.661.318,,262.0,473277077088.0,46918661318.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,28,(13.369.974.840) (1.055.315.653),(10.344.607.071) (580.837.731),,28.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,28,(13.369.974.840) (1.055.315.653),(10.344.607.071) (580.837.731),,28.0,,
25,25,25,8. Chi phí bán hàng,29,(30.100.642.613),(8.374.737.581),,29.0,-30100642613.0,-8374737581.0
26,26,26,9. Chi phí quản lý doanh nghiệp,29,(125.634.154.880),(37.451.705.243),,29.0,-125634154880.0,-37451705243.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,399.535.023.817,20.828.564.349,,,399535023817.0,20828564349.0
31,31,31,11. Thu nhập khác,,1.127.665.683,386.417.426,,,1127665683.0,386417426.0
32,32,32,12. Chi phí khác,,(2.995.629.288),(560.724.923),,,-2995629288.0,-560724923.0
40,40,40,13. Lỗ khác,,(1.867.963.605),(174.307.497),,,-1867963605.0,-174307497.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,397.667.060.212,20.654.256.852,,,397667060212.0,20654256852.0
51,51,51,15. Chi phí thuế TNDN hiện hành,31,(9.283.672.764),(1.346.011.961),,31.0,-9283672764.0,-1346011961.0
60,60,60,16. Lợi nhuận sau thuế TNDN,,388.383.387.448,19.308.244.891,,,388383387448.0,19308244891.0
