row_label_raw,row_label_full,Chỉ tiêu,Đã được trình bày trước đây,Điều chỉnh,Đơn vị tính: VND,numeric__Đã được trình bày trước đây,numeric__Điều chỉnh,numeric__Đơn vị tính: VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,45.560.892.424,2.203.051.271,47.763.943.695,45560892424.0,2203051271.0,47763943695.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,37.908.207.989,138.626.002,38.046.833.991,37908207989.0,138626002.0,38046833991.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,80.716.700.356,1.396.411.740,82.113.112.096,80716700356.0,1396411740.0,82113112096.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,231.308.048.250,5.152.298.536,236.460.346.786,231308048250.0,5152298536.0,236460346786.0
Tài sản cố định hữu hình - Nguyên giá,Tài sản cố định hữu hình - Nguyên giá,Tài sản cố định hữu hình - Nguyên giá,557.153.020.152,(203.875.991),556.949.144.161,557153020152.0,-203875991.0,556949144161.0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế,Tài sản cố định hữu hình - Giá trị hao mòn lũy kế,Tài sản cố định hữu hình - Giá trị hao mòn lũy kế,(396.247.029.084),48.302.180,(396.198.726.904),-396247029084.0,48302180.0,-396198726904.0
Bắt động sản đầu tư – Nguyên giá,Bắt động sản đầu tư – Nguyên giá,Bắt động sản đầu tư – Nguyên giá,225.632.867.929,108.361.991,225.741.229.920,225632867929.0,108361991.0,225741229920.0
Bắt động sản đầu tư - Giá trị hao mòn lũy kế,Bắt động sản đầu tư - Giá trị hao mòn lũy kế,Bắt động sản đầu tư - Giá trị hao mòn lũy kế,(44.999.283.246),(155.809.146),(45.155.092.392),-44999283246.0,-155809146.0,-45155092392.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn (i)","Chi phí sản xuất, kinh doanh dở dang dài hạn (i)","Chi phí sản xuất, kinh doanh dở dang dài hạn (i)",67.542.503.780,133.213.210.637,200.755.714.417,67542503780.0,133213210637.0,200755714417.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,24.916.390.663,(216.561.170),24.699.829.493,24916390663.0,-216561170.0,24699829493.0
Đầu tư vào công ty con (ii),Đầu tư vào công ty con (ii),Đầu tư vào công ty con (ii),223.342.382.683,2.222.623.781,225.565.006.464,223342382683.0,2222623781.0,225565006464.0
"Đầu tư vào công ty liên doanh, liên kết (ii)","Đầu tư vào công ty liên doanh, liên kết (ii)","Đầu tư vào công ty liên doanh, liên kết (ii)",1.313.943.388.263,49.363.499.700,1.363.306.887.963,1313943388263.0,49363499700.0,1363306887963.0
"Thiết bị vật tư, phụ tùng thay thế dài hạn","Thiết bị vật tư, phụ tùng thay thế dài hạn","Thiết bị vật tư, phụ tùng thay thế dài hạn",5.307.923.872,(5.307.923.872),-,5307923872.0,-5307923872.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,48.709.602.722,(530.922.998),48.178.679.724,48709602722.0,-530922998.0,48178679724.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,14.760.627.153,62.263.128,14.822.890.281,14760627153.0,62263128.0,14822890281.0
Thuế và các khoản phải nộp Nhà nước (iii),Thuế và các khoản phải nộp Nhà nước (iii),Thuế và các khoản phải nộp Nhà nước (iii),121.021.571.321,172.838.254.662,293.859.825.983,121021571321.0,172838254662.0,293859825983.0
Phải trả ngắn hạn khác (iv),Phải trả ngắn hạn khác (iv),Phải trả ngắn hạn khác (iv),592.846.037.507,16.464.842.889,609.310.880.396,592846037507.0,16464842889.0,609310880396.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",9.461.401.296,(97.563.010),9.363.838.286,9461401296.0,-97563010.0,9363838286.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,19.753.146.841,(774.650.012),18.078.487.829,19753146841.0,-774650012.0,18078487829.0
