row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại),,,
Số đầu kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Số đầu kỳ,Số đầu kỳ,3.500.000.000.000,-,3.500.000.000.000,3500000000000.0,,3500000000000.0
Lợi nhuận trong kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,19.308.244.891,19.308.244.891,,19308244891.0,19308244891.0
Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,Lỗ của Công ty TNHH MTV Lâm nghiệp Hòa Bình tại thời điểm sáp nhập,-,(329.757.062),(329.757.062),,-329757062.0,-329757062.0
Số cuối kỳ,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016 (Trình bày lại) > Số cuối kỳ,Số cuối kỳ,3.500.000.000.000,18.978.487.829,3.518.978.487.829,3500000000000.0,18978487829.0,3518978487829.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số đầu năm,Số đầu năm,3.500.000.000.000,18.978.487.829,3.518.978.487.829,3500000000000.0,18978487829.0,3518978487829.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,388.383.387.448,388.383.387.448,,388383387448.0,388383387448.0
"Trích quỹ khen thưởng, phúc lợi (*)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,(17.580.074.025),(17.580.074.025),,-17580074025.0,-17580074025.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số cuối năm,Số cuối năm,3.500.000.000.000,389.781.801.252,3.889.781.801.252,3500000000000.0,389781801252.0,3889781801252.0
