row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại) > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại) > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017_1,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại) > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (Trình bày lại) > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017_1
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
"Chi phí nguyên liệu, vật liệu","Chi phí bán hàng > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",50.316.001,9.743.342,50316001.0,9743342.0
Chi phí nhân công,Chi phí bán hàng > Chi phí nhân công,Chi phí nhân công,5.479.102.279,1.239.003.526,5479102279.0,1239003526.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,22.576.240.936,6.286.072.190,22576240936.0,6286072190.0
Chi phí khác bằng tiền,Chi phí bán hàng > Chi phí khác bằng tiền,Chi phí khác bằng tiền,1.994.983.397,839.918.523,1994983397.0,839918523.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,30.100.642.613,8.374.737.581,30100642613.0,8374737581.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,61.081.843.935,16.601.388.757,61081843935.0,16601388757.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,10.401.658.915,2.965.585.756,10401658915.0,2965585756.0
"Thuế, phí và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",1.618.641.989,21.101.667,1618641989.0,21101667.0
Chi phí đồ dùng văn phòng,Chi phí quản lý doanh nghiệp > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,3.680.848.320,430.168.141,3680848320.0,430168141.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",207.950.204,2.575.164.953,207950204.0,2575164953.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,10.995.156.451,2.742.540.343,10995156451.0,2742540343.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,16.013.231.522,6.923.423.661,16013231522.0,6923423661.0
Chi phí khác bằng tiền,Chi phí quản lý doanh nghiệp > Chi phí khác bằng tiền,Chi phí khác bằng tiền,21.634.823.544,5.192.331.965,21634823544.0,5192331965.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,125.634.154.880,37.451.705.243,125634154880.0,37451705243.0
