row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.828.395.508.373,2.295.371.151.980,,,2828395508373.0,2295371151980.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,136.539.329.585,73.633.521.707,,4.0,136539329585.0,73633521707.0
111,111,111,1. Tiền,,31.352.129.819,23.348.390.349,,,31352129819.0,23348390349.0
112,112,112,2. Các khoản tương đương tiền,,105.187.199.766,50.285.131.358,,,105187199766.0,50285131358.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,2.176.517.546.868,1.753.103.455.713,,,2176517546868.0,1753103455713.0
123,123,123,1. Đầu tư nằm giữ đến ngày đáo hạn,5,2.176.517.546.868,1.753.103.455.713,,5.0,2176517546868.0,1753103455713.0
130,130,130,III. Các khoản phải thu ngắn hạn,,192.220.676.157,227.823.441.178,,,192220676157.0,227823441178.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6.1,36.129.709.922,47.763.943.695,,61.0,36129709922.0,47763943695.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6.2,53.487.592.190,38.046.833.991,,62.0,53487592190.0,38046833991.0
135,135,135,3. Phải thu về cho vay ngắn hạn,7,31.972.403.190,67.351.514.610,,7.0,31972403190.0,67351514610.0
136,136,136,4. Phải thu ngắn hạn khác,8,93.848.216.741,82.113.112.096,,8.0,93848216741.0,82113112096.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"6.1,7,8",(23.217.245.886),(7.451.963.214),,,-23217245886.0,-7451963214.0
140,140,140,IV. Hàng tồn kho,9,316.791.773.760,235.994.556.719,,9.0,316791773760.0,235994556719.0
141,141,141,1. Hàng tồn kho,,324.914.752.882,236.460.346.786,,,324914752882.0,236460346786.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(8.122.979.122),(465.790.067),,,-8122979122.0,-465790067.0
150,150,150,V. Tài sản ngắn hạn khác,,6.326.182.003,4.816.176.663,,,6326182003.0,4816176663.0
151,151,151,1. Chi phí trả trước ngắn hạn,15,2.618.781.099,1.501.135.472,,15.0,2618781099.0,1501135472.0
152,152,152,2. Thuế GTGT được khấu trừ,,3.707.400.904,3.283.537.327,,,3707400904.0,3283537327.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,18,-,31.503.864,,18.0,,31503864.0
