row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năng trả nợ
Phải trả người bán,Phải trả người bán,Phải trả người bán,30.002.911.449,30.002.911.449,46.731.588.136,46.731.588.136,30002911449.0,30002911449.0,46731588136.0,46731588136.0
- Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,11.217.284.773,11.217.284.773,4.384.257.083,4.384.257.083,11217284773.0,11217284773.0,4384257083.0,4384257083.0
- Công ty Cổ phần D&A Việt Nam,- Công ty Cổ phần D&A Việt Nam,- Công ty Cổ phần D&A Việt Nam,3.558.359.200,3.558.359.200,-,-,3558359200.0,3558359200.0,,
- Công ty TNHH MTV Thành Hoa - Gia Lai,- Công ty TNHH MTV Thành Hoa - Gia Lai,- Công ty TNHH MTV Thành Hoa - Gia Lai,3.197.691.283,3.197.691.283,632.387.106,632.387.106,3197691283.0,3197691283.0,632387106.0,632387106.0
- Công ty TNHH Samartex Timber and Plywood,- Công ty TNHH Samartex Timber and Plywood,- Công ty TNHH Samartex Timber and Plywood,1.141.320.600,1.141.320.600,6.375.183.095,6.375.183.095,1141320600.0,1141320600.0,6375183095.0,6375183095.0
- Công ty Promo Incorporation Fze,- Công ty Promo Incorporation Fze,- Công ty Promo Incorporation Fze,-,-,4.220.019.669,4.220.019.669,,,4220019669.0,4220019669.0
- Công ty TNHH Hòa keo Kỹ thuật,- Công ty TNHH Hòa keo Kỹ thuật,- Công ty TNHH Hòa keo Kỹ thuật,-,-,4.176.494.383,4.176.494.383,,,4176494383.0,4176494383.0
- Công ty TNHH Thương mại Ánh Dương,- Công ty TNHH Thương mại Ánh Dương,- Công ty TNHH Thương mại Ánh Dương,-,-,4.036.926.800,4.036.926.800,,,4036926800.0,4036926800.0
- Phải trả các đối tượng khác,- Phải trả các đối tượng khác,- Phải trả các đối tượng khác,10.888.255.593,10.888.255.593,22.906.320.000,22.906.320.000,10888255593.0,10888255593.0,22906320000.0,22906320000.0
Phải trả cho các bên liên quan (Thuyết minh số 32),Phải trả cho các bên liên quan (Thuyết minh số 32),Phải trả cho các bên liên quan (Thuyết minh số 32),147.281.455,147.281.455,1.447.091.588,1.447.091.588,147281455.0,147281455.0,1447091588.0,1447091588.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,30.150.192.904,30.150.192.904,48.178.679.724,48.178.679.724,30150192904.0,30150192904.0,48178679724.0,48178679724.0
