row_label_raw,row_label_full,Chỉ tiêu,Đã được trình bày trước đây,Điều chỉnh,Đơn vị tính: VND,numeric__Đã được trình bày trước đây,numeric__Điều chỉnh,numeric__Đơn vị tính: VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,21.313.736.311,(659.479.459),20.654.256.852,21313736311.0,-659479459.0,20654256852.0
Khẩu hao tài sản cố định hữu hình và hao mòn tài sản cố định vô hình,Khẩu hao tài sản cố định hữu hình và hao mòn tài sản cố định vô hình,Khẩu hao tài sản cố định hữu hình và hao mòn tài sản cố định vô hình,20.342.819.258,(92.931.201),20.249.888.057,20342819258.0,-92931201.0,20249888057.0
Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(45.198.814.601),476.565.890,(44.722.248.711),-45198814601.0,476565890.0,-44722248711.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,11.665.109.114,885.830.692,12.550.939.806,11665109114.0,885830692.0,12550939806.0
Giảm các khoản phải thu,Giảm các khoản phải thu,Giảm các khoản phải thu,48.450.299.267,100.836.045,48.551.135.312,48450299267.0,100836045.0,48551135312.0
Tăng hàng tồn kho,Tăng hàng tồn kho,Tăng hàng tồn kho,(26.340.105.763),2.554.403,(26.337.551.360),-26340105763.0,2554403.0,-26337551360.0
Giảm các khoản phải trả,Giảm các khoản phải trả,Giảm các khoản phải trả,(26.838.312.918),(1.076.235.462),(27.914.548.380),-26838312918.0,-1076235462.0,-27914548380.0
Tăng chi phí trả trước,Tăng chi phí trả trước,Tăng chi phí trả trước,(2.452.583.139),87.014.322,(2.365.568.817),-2452583139.0,87014322.0,-2365568817.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",(207.797.620.833),(223.285.131.358),(431.082.752.191),-207797620833.0,-223285131358.0,-431082752191.0
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",13.985.815.900,223.285.131.358,237.270.947.258,13985815900.0,223285131358.0,237270947258.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-,201.170.257.960,201.170.257.960,,201170257960.0,201170257960.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",206.409.302.919,(201.170.257.960),5.239.044.969,206409302919.0,-201170257960.0,5239044969.0
