row_label_raw,row_label_full,Chỉ tiêu,Đã được trình bày trước đây,Điều chỉnh,Được trình bày lại,numeric__Đã được trình bày trước đây,numeric__Điều chỉnh,numeric__Được trình bày lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,361.713.877.722,(83.556.045),361.630.321.677,361713877722.0,-83556045.0,361630321677.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(331.133.608.043),(415.760.708),(331.549.368.751),-331133608043.0,-415760708.0,-331549368751.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,30.580.269.679,(499.316.753),30.080.952.926,30580269679.0,-499316753.0,30080952926.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,47.480.667.208,(562.005.890),46.918.661.318,47480667208.0,-562005890.0,46918661318.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(37.870.828.427),419.123.184,(37.451.705.243),-37870828427.0,419123184.0,-37451705243.0
Lợi nhuận thuần từ hoạt động,Lợi nhuận thuần từ hoạt động,Lợi nhuận thuần từ hoạt động,21.470.763.808,(642.199.459),20.828.564.349,21470763808.0,-642199459.0,20828564349.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,403.697.426,(17.280.000),386.417.426,403697426.0,-17280000.0,386417426.0
Lỗ khác,Lỗ khác,Lỗ khác,(157.027.497),(17.280.000),(174.307.497),-157027497.0,-17280000.0,-174307497.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,21.313.736.311,(659.479.459),20.654.256.852,21313736311.0,-659479459.0,20654256852.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,19.967.724.350,(659.479.459),19.308.244.891,19967724350.0,-659479459.0,19308244891.0
