row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộptrong năm,Số đã nộptrong năm,Đơn vị tính: VND,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộptrong năm,numeric__Số đã nộptrong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.292.900.305,47.548.708.010,(46.723.735.892),2.117.872.423,1292900305.0,47548708010.0,-46723735892.0,2117872423.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.100.325.631,9.085.896.294,(6.947.134.422),3.239.087.503,1100325631.0,9085896294.0,-6947134422.0,3239087503.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,155.652.361,7.997.082.200,(7.403.611.149),749.123.412,155652361.0,7997082200.0,-7403611149.0,749123412.0
Lợi nhuận phải nộp về Nhà nước,Phải nộp > Lợi nhuận phải nộp về Nhà nước,Lợi nhuận phải nộp về Nhà nước,158.097.737.049,2.614.161.136,(119.386.088.388),41.325.809.797,158097737049.0,2614161136.0,-119386088388.0,41325809797.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",133.213.210.637,7.339.137.509,(7.339.137.509),133.213.210.637,133213210637.0,7339137509.0,-7339137509.0,133213210637.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,293.859.825.983,74.584.985.149,(187.799.707.360),180.645.103.772,293859825983.0,74584985149.0,-187799707360.0,180645103772.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",31.503.864,-,(31.503.864),-,31503864.0,,-31503864.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,31.503.864,-,(31.503.864),-,31503864.0,,-31503864.0,
